iso3,iso2,country,wave,year,ari,pmi,csi,spi,ebi,fin_dev,gdp_pc_ppp,npl_ratio,log_gdp_pc,log_fin_dev,ari_x_pmi,ari_z,pmi_z,csi_z,spi_z,ebi_z,ari_z_x_pmi_z,csi_x_pmi,spi_x_pmi,ebi_x_pmi
ARE,AE,,2,2003,8.0,10.0,7.0,11.0,8.0,36.1630702795503,92635.9226901803,,11.43643227942655,3.588038440092885,80.0,-0.7585708827079539,2.2512074960903665,1.2421991443822762,0.7664510451138795,1.6274315285570444,-1.7077004574680321,70.0,110.0,80.0
ARE,AE,,4,2012,13.0,6.0,5.0,11.0,6.0,57.7133017315363,89198.0119017025,7.12965175228017,11.398614030222213,4.055487679554443,78.0,1.1712735435644837,-0.48142705760547244,0.07346339025916672,0.7664510451138795,-0.33661404265880746,-0.5638827757293845,30.0,66.0,36.0
ALB,AL,,1,2001,7.0,5.0,4.0,8.0,7.0,5.99185280537185,4423.93754718563,,8.394785426281919,1.7904006807215753,35.0,-1.1445397679624414,-1.164585696029432,-0.510904486802388,-0.3815878066485769,0.6454087429491185,1.3329146423059044,20.0,40.0,35.0
ALB,AL,,2,2003,9.0,6.0,4.0,11.0,8.0,7.40498530869957,4987.56676460624,,8.514703447495737,2.0021534637474456,54.0,-0.3726019974534664,-0.48142705760547244,-0.510904486802388,0.7664510451138795,1.6274315285570444,0.17938068329194407,24.0,66.0,48.0
ALB,AL,,5,2019,8.0,7.0,5.0,12.0,7.0,30.977709431393,15487.4777327457,7.97222983771095,9.647787088179832,3.4332678952440463,56.0,-0.7585708827079539,0.20173158081848727,0.07346339025916672,1.1491306623680317,0.6454087429491185,-0.15302770333155083,35.0,84.0,49.0
ARM,AM,,1,2001,4.0,7.0,5.0,9.0,6.0,7.51285912172205,2844.36266367009,,7.953094301664631,2.016616101943021,28.0,-2.302446423725904,0.20173158081848727,0.07346339025916672,0.0010918106055752641,-0.33661404265880746,-0.46447615680809917,35.0,63.0,42.0
ARM,AM,,2,2003,11.0,7.0,4.0,5.0,8.0,5.63748767977542,3836.22556768673,,8.252244237112551,1.7294385194207182,77.0,0.3993357730555086,0.20173158081848727,-0.510904486802388,-1.5296266584110332,1.6274315285570444,0.08055863677586042,28.0,35.0,56.0
ARM,AM,,3,2007,9.0,5.0,3.0,8.0,6.0,13.4793623631806,7136.75405519953,2.40401572394746,8.87301333784759,2.601159801930692,45.0,-0.3726019974534664,-1.164585696029432,-1.0952723638639428,-0.3815878066485769,-0.33661404265880746,0.4339269565463018,15.0,40.0,30.0
ARM,AM,,4,2012,12.0,5.0,5.0,8.0,6.0,38.8574651699037,8942.63537897164,3.66922217057882,9.098585609846834,3.65990021201998,60.0,0.7853046583099962,-1.164585696029432,0.07346339025916672,-0.3815878066485769,-0.33661404265880746,-0.9145545720931022,25.0,40.0,30.0
ARM,AM,,5,2019,9.0,7.0,5.0,12.0,7.0,57.3406716513044,14975.7539538157,5.50666582915208,9.614187769216471,4.0490101738729205,63.0,-0.3726019974534664,0.20173158081848727,0.07346339025916672,1.1491306623680317,0.6454087429491185,-0.07516558996241375,35.0,84.0,49.0
AGO,AO,,3,2007,9.0,9.0,3.0,8.0,7.0,8.73470187046142,6727.96328856831,,8.81402774512308,2.167303812546942,81.0,-0.3726019974534664,1.5680488576664067,-1.0952723638639428,-0.3815878066485769,0.6454087429491185,-0.5842581364711293,27.0,72.0,63.0
AGO,AO,,4,2012,9.0,7.0,,10.0,6.0,17.841317732353,8246.36081151609,4.35011884491608,9.017527268253808,2.8815169883451905,63.0,-0.3726019974534664,0.20173158081848727,,0.3837714278597274,-0.33661404265880746,-0.07516558996241375,,70.0,42.0
AGO,AO,,5,2019,9.0,8.0,5.0,12.0,7.0,12.519911409315,8572.87895610671,23.145468821214,9.056358889380048,2.5273202897136113,72.0,-0.3726019974534664,0.8848902192424469,0.07346339025916672,1.1491306623680317,0.6454087429491185,-0.32971186321677154,40.0,96.0,56.0
ARG,AR,,1,2001,11.0,7.0,8.0,6.0,7.0,20.1560327767269,11117.754923787,,9.31629865207807,3.003503636969386,77.0,0.3993357730555086,0.20173158081848727,1.8265670214438308,-1.1469470411568812,0.6454087429491185,0.08055863677586042,56.0,42.0,49.0
ARG,AR,,2,2003,11.0,7.0,7.0,8.0,7.0,10.6211819600196,10933.3925491594,,9.299576921771111,2.3628503052912846,77.0,0.3993357730555086,0.20173158081848727,1.2421991443822762,-0.3815878066485769,0.6454087429491185,0.08055863677586042,49.0,56.0,49.0
ARG,AR,,3,2007,11.0,9.0,4.0,10.0,8.0,12.6122114252425,16455.1129801674,2.72684750122498,9.708391527362219,2.5346655053579155,99.0,0.3993357730555086,1.5680488576664067,-0.510904486802388,0.3837714278597274,1.6274315285570444,0.6261780027650217,36.0,90.0,72.0
ARG,AR,,4,2012,10.0,6.0,6.0,8.0,6.0,15.0377690033615,19430.4178068112,1.53673589612636,9.87459504532152,2.710564969976139,60.0,0.013366887801021103,-0.48142705760547244,0.6578312673207214,-0.3815878066485769,-0.33661404265880746,-0.0064351814633880735,36.0,48.0,36.0
ARG,AR,,5,2019,8.0,7.0,7.0,11.0,7.0,12.7789482484627,23516.8261980886,5.7029147138395,10.06547145234981,2.5477991488854212,56.0,-0.7585708827079539,0.20173158081848727,1.2421991443822762,0.7664510451138795,0.6454087429491185,-0.15302770333155083,49.0,77.0,49.0
AUT,AT,,1,2001,10.0,3.0,9.0,12.0,7.0,89.7803638574187,29553.2333509767,,10.293948436509153,4.497366286112545,30.0,0.013366887801021103,-2.5309029728773513,2.4109348985053853,1.1491306623680317,0.6454087429491185,-0.03383029607372231,27.0,36.0,21.0
AUT,AT,,2,2003,7.0,5.0,8.0,10.0,8.0,87.9545213374514,31958.8592412083,,10.372204705914287,4.47681987790601,35.0,-1.1445397679624414,-1.164585696029432,1.8265670214438308,0.3837714278597274,1.6274315285570444,1.3329146423059044,40.0,50.0,40.0
AUT,AT,,3,2007,7.0,6.0,5.0,6.0,7.0,93.183321689626,39192.372452379,2.24246731582086,10.576237426548898,4.534568753849709,42.0,-1.1445397679624414,-0.48142705760547244,0.07346339025916672,-1.1469470411568812,0.6454087429491185,0.5510124128026084,30.0,36.0,42.0
AUT,AT,,4,2012,5.0,5.0,3.0,11.0,5.0,94.4747330619808,46156.4832073037,2.81336476630545,10.739792711262785,4.548332423743133,25.0,-1.9164775384714166,-1.164585696029432,-1.0952723638639428,0.7664510451138795,-1.3186368282667333,2.2319023280655075,15.0,55.0,25.0
AUT,AT,,5,2019,5.0,7.0,8.0,11.0,7.0,86.0215254846411,60354.9279422121,2.41057983492873,11.007997879235287,4.454597561267643,35.0,-1.9164775384714166,0.20173158081848727,1.8265670214438308,0.7664510451138795,0.6454087429491185,-0.3866140434389621,56.0,77.0,49.0
AUS,AU,,1,2001,5.0,8.0,7.0,9.0,7.0,88.1892830335626,27687.7587444103,,10.228745671914401,4.479485448074125,40.0,-1.9164775384714166,0.8848902192424469,1.2421991443822762,0.0010918106055752641,0.6454087429491185,-1.6958722291911967,56.0,72.0,56.0
AUS,AU,,2,2003,11.0,9.0,6.0,8.0,7.0,98.9700701383552,30167.241365541,,10.314511891629857,4.594817482591336,99.0,0.3993357730555086,1.5680488576664067,0.6578312673207214,-0.3815878066485769,0.6454087429491185,0.6261780027650217,54.0,72.0,63.0
AUS,AU,,3,2007,10.0,8.0,4.0,10.0,4.0,120.28724964726,36708.1660067256,0.559225604529488,10.5107545162869,4.789882629393936,80.0,0.013366887801021103,0.8848902192424469,-0.510904486802388,0.3837714278597274,-2.3006596138746596,0.011828228276834753,32.0,80.0,32.0
AUS,AU,,4,2012,8.0,6.0,3.0,8.0,6.0,120.774756172135,43007.2697824131,1.70189150824109,10.669124445093153,4.793927291578031,48.0,-0.7585708827079539,-0.48142705760547244,-1.0952723638639428,-0.3815878066485769,-0.33661404265880746,0.3651965480472762,18.0,48.0,36.0
AUS,AU,,5,2019,6.0,6.0,7.0,13.0,7.0,135.666714386567,52885.8313816377,0.961493162441897,10.875890744195223,4.9102012485181605,36.0,-1.530508653216929,-0.48142705760547244,1.2421991443822762,1.5318102796221837,0.6454087429491185,0.7368282775579406,42.0,78.0,42.0
AZE,AZ,,2,2003,12.0,8.0,6.0,6.0,7.0,7.00102698460329,4718.42112339403,,8.4592295148639,1.946056850380332,96.0,0.7853046583099962,0.8848902192424469,0.6578312673207214,-1.1469470411568812,0.6454087429491185,0.6949084112640473,48.0,48.0,56.0
AZE,AZ,,5,2019,10.0,6.0,3.0,11.0,7.0,22.1534167178453,16675.3179361558,,9.721684937238088,3.0979917382226043,60.0,0.013366887801021103,-0.48142705760547244,-1.0952723638639428,0.7664510451138795,0.6454087429491185,-0.0064351814633880735,18.0,66.0,42.0
BIH,BA,,2,2003,11.0,8.0,5.0,12.0,6.0,34.1916210517568,4744.47241056951,8.38582572565641,8.464735516362552,3.531980615564884,88.0,0.3993357730555086,0.8848902192424469,0.07346339025916672,1.1491306623680317,-0.33661404265880746,0.35336831977044103,40.0,96.0,48.0
BIH,BA,,3,2007,11.0,6.0,5.0,12.0,7.0,49.2611284876516,7225.83741608305,3.01859191826486,8.885418411604343,3.8971353012333103,66.0,0.3993357730555086,-0.48142705760547244,0.07346339025916672,1.1491306623680317,0.6454087429491185,-0.19225104621872022,30.0,72.0,42.0
BIH,BA,,4,2012,10.0,6.0,3.0,7.0,4.0,54.7098072984051,9589.07181276479,13.4656882284517,9.168379376203205,4.002042985832373,60.0,0.013366887801021103,-0.48142705760547244,-1.0952723638639428,-0.7642674239027291,-2.3006596138746596,-0.0064351814633880735,18.0,42.0,24.0
