country,date,year,month,monthly_volume_bn,annual_total_bn,estimation_method,source,ln_monthly_volume
Colombia,2021-10-01,2021,10,2.019,6.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,0.7026023393307005
Colombia,2021-11-01,2021,11,2.187,6.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,0.7825307416946307
Colombia,2021-12-01,2021,12,1.794,6.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,0.5844477636366044
Colombia,2022-01-01,2022,1,0.29,2.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.2378743560016174
Colombia,2022-02-01,2022,2,0.304,2.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.1907275775759154
Colombia,2022-03-01,2022,3,0.319,2.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.1425641761972924
Colombia,2022-04-01,2022,4,0.275,2.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.2909841813155656
Colombia,2022-05-01,2022,5,0.232,2.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.4610179073158271
Colombia,2022-06-01,2022,6,0.174,2.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.7486999797676082
Colombia,2022-07-01,2022,7,0.188,2.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.6713133161521878
Colombia,2022-08-01,2022,8,0.159,2.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.8388510767619055
Colombia,2022-09-01,2022,9,0.145,2.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.9310215365615626
Colombia,2022-10-01,2022,10,0.139,2.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.973281345851445
Colombia,2022-11-01,2022,11,0.159,2.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.8388510767619055
Colombia,2022-12-01,2022,12,0.116,2.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-2.1541650878757723
Colombia,2023-01-01,2023,1,0.153,2.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.8773173575897015
Colombia,2023-02-01,2023,2,0.162,2.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.820158943749753
Colombia,2023-03-01,2023,3,0.181,2.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.7092582477163114
Colombia,2023-04-01,2023,4,0.167,2.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.7897614665653818
Colombia,2023-05-01,2023,5,0.153,2.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.8773173575897015
Colombia,2023-06-01,2023,6,0.139,2.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.973281345851445
Colombia,2023-07-01,2023,7,0.145,2.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.9310215365615626
Colombia,2023-08-01,2023,8,0.134,2.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-2.0099154790312257
Colombia,2023-09-01,2023,9,0.139,2.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.973281345851445
Colombia,2023-10-01,2023,10,0.181,2.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.7092582477163114
Colombia,2023-11-01,2023,11,0.209,2.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.565421027017326
Colombia,2023-12-01,2023,12,0.237,2.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-1.439695137847006
Indonesia,2021-10-01,2021,10,8.411,25.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,2.1295403729803004
Indonesia,2021-11-01,2021,11,9.112,25.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,2.209592226144881
Indonesia,2021-12-01,2021,12,7.477,25.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,2.0118316420177784
Indonesia,2022-01-01,2022,1,0.985,8.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.015113637810048184
Indonesia,2022-02-01,2022,2,1.034,8.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,0.03343477608623742
Indonesia,2022-03-01,2022,3,1.083,8.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,0.07973496801885352
Indonesia,2022-04-01,2022,4,0.936,8.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.06613980250454495
Indonesia,2022-05-01,2022,5,0.788,8.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.2382571891242579
Indonesia,2022-06-01,2022,6,0.591,8.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.5259392615760389
Indonesia,2022-07-01,2022,7,0.64,8.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.4462871026284195
Indonesia,2022-08-01,2022,8,0.542,8.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.6124892775424908
Indonesia,2022-09-01,2022,9,0.492,8.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.709276562489829
Indonesia,2022-10-01,2022,10,0.473,8.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.7486598904902041
Indonesia,2022-11-01,2022,11,0.542,8.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.6124892775424908
Indonesia,2022-12-01,2022,12,0.394,8.5,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.9314043696842031
Indonesia,2023-01-01,2023,1,0.46,6.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.7765287894989963
Indonesia,2023-02-01,2023,2,0.485,6.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.7236063880446539
Indonesia,2023-03-01,2023,3,0.543,6.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.6106459590482015
Indonesia,2023-04-01,2023,4,0.501,6.0,annual_total_x_global_shape,Chainalysis Geography + CoinGecko global volume index,-0.6911491778972723
