year,ln_price,ln_cumulative,fitted,residual,leverage,cooks_d
1984,13.676200,-11.512900,15.449382,-1.773182,0.144907,0.388424
1985,13.217700,-10.414300,14.602471,-1.384771,0.124669,0.194494
1986,12.577600,-9.433500,13.846373,-1.268773,0.108172,0.136475
1987,12.254900,-8.517200,13.139998,-0.885098,0.094098,0.055993
1988,12.072500,-7.600900,12.433623,-0.361123,0.081317,0.007832
1989,11.736100,-6.907800,11.899312,-0.163212,0.072508,0.001400
1990,11.512900,-5.809100,11.052325,0.460575,0.060062,0.008989
1991,11.184400,-5.116000,10.518015,0.666385,0.053166,0.016416
1992,10.819800,-4.422800,9.983627,0.836173,0.047009,0.022560
1993,10.373500,-3.688900,9.417864,0.955636,0.041298,0.025579
1994,10.240000,-2.995700,8.883477,1.356523,0.036665,0.045320
1995,10.309000,-2.302600,8.349166,1.959834,0.032773,0.083876
1996,9.680300,-1.609400,7.814779,1.865521,0.029621,0.068241
1997,8.699500,-0.916300,7.280468,1.419032,0.027208,0.036090
1998,7.783200,-0.356700,6.849073,0.934127,0.025801,0.014787
1999,7.600900,0.182300,6.433558,1.167342,0.024901,0.022246
2000,7.090100,0.693100,6.039783,1.050317,0.024461,0.017675
2001,5.991500,1.098600,5.727183,0.264317,0.024398,0.001116
2002,5.298300,1.504100,5.414583,-0.116283,0.024589,0.000218
2003,5.010600,1.945900,5.074000,-0.063400,0.025084,0.000066
2004,4.867500,2.397900,4.725553,0.141947,0.025902,0.000343
2005,4.499800,2.833200,4.389981,0.109819,0.026988,0.000214
2006,4.007300,3.218900,4.092645,-0.085345,0.028193,0.000136
2007,3.688900,3.688900,3.730322,-0.041422,0.029972,0.000034
2008,2.484900,4.007300,3.484868,-0.999968,0.031371,0.020841
2009,2.079400,4.248500,3.298927,-1.219527,0.032534,0.032224
2010,2.302600,4.553900,3.063494,-0.760894,0.034135,0.013206
2011,1.704700,4.867500,2.821740,-1.117040,0.035929,0.030068
2012,1.386300,5.164800,2.592552,-1.206252,0.037770,0.037000
2013,1.609400,5.438100,2.381865,-0.772465,0.039582,0.015961
2014,1.386300,5.703800,2.177037,-0.790737,0.041454,0.017585
2015,1.163200,5.991500,1.955249,-0.792049,0.043604,0.018642
2016,1.252800,6.253800,1.753042,-0.500242,0.045675,0.007823
2017,1.704700,6.522100,1.546210,0.158490,0.047903,0.000827
2018,1.791800,6.779900,1.347472,0.444328,0.050148,0.006840
2019,1.098600,7.003100,1.175407,-0.076807,0.052174,0.000214
2020,1.029600,7.244200,0.989543,0.040057,0.054450,0.000061
2021,1.163200,7.495500,0.795816,0.367384,0.056917,0.005384
2022,0.587800,7.696200,0.641097,-0.053297,0.058957,0.000118
2023,0.405500,7.863300,0.512279,-0.106779,0.060702,0.000489
2024,0.693100,8.070900,0.352241,0.340859,0.062931,0.005191
