country_code,country,year,pct_firms_bribery_expected,pct_firms_offering_training,pct_firms_with_bank_account,latest_survey_year,n_firms_approx,has_panel,source,note
ARG,Argentina,2006,19.0813,52.1478,6.8830,2017.0000,1000.0000,False,World Bank Enterprise Surveys (enterprisesurveys.org),Firm-level microdata requires registration; aggregate indicators via WB API
ARG,Argentina,2010,18.1512,63.5971,30.2798,2017.0000,1000.0000,False,World Bank Enterprise Surveys (enterprisesurveys.org),Firm-level microdata requires registration; aggregate indicators via WB API
ARG,Argentina,2017,6.8492,40.1965,40.9118,2017.0000,1000.0000,False,World Bank Enterprise Surveys (enterprisesurveys.org),Firm-level microdata requires registration; aggregate indicators via WB API
BGD,Bangladesh,2007,85.0752,,24.6849,2013.0000,1400.0000,False,World Bank Enterprise Surveys (enterprisesurveys.org),Firm-level microdata requires registration; aggregate indicators via WB API
BGD,Bangladesh,2013,48.4890,21.9004,19.8134,2013.0000,1400.0000,False,World Bank Enterprise Surveys (enterprisesurveys.org),Firm-level microdata requires registration; aggregate indicators via WB API
BGD,Bangladesh,2022,30.6797,6.4153,18.7574,2013.0000,1400.0000,False,World Bank Enterprise Surveys (enterprisesurveys.org),Firm-level microdata requires registration; aggregate indicators via WB API
BOL,Bolivia,2006,33.1889,53.8590,22.2447,,,,,
BOL,Bolivia,2010,17.5691,57.1044,27.7652,,,,,
BOL,Bolivia,2017,19.2275,49.9379,36.9628,,,,,
BRA,Brazil,2009,12.4514,42.2417,43.6569,2009.0000,1800.0000,False,World Bank Enterprise Surveys (enterprisesurveys.org),Firm-level microdata requires registration; aggregate indicators via WB API
CHN,China,2012,10.6550,79.1643,14.6668,2012.0000,2700.0000,True,World Bank Enterprise Surveys (enterprisesurveys.org),Firm-level microdata requires registration; aggregate indicators via WB API
CHN,China,2024,0.2878,79.1188,12.6606,2012.0000,2700.0000,True,World Bank Enterprise Surveys (enterprisesurveys.org),Firm-level microdata requires registration; aggregate indicators via WB API
CMR,Cameroon,2006,77.6000,42.4000,19.5000,,,,,
CMR,Cameroon,2009,51.2347,25.5062,31.3730,,,,,
CMR,Cameroon,2016,45.6310,37.5860,15.8500,,,,,
CMR,Cameroon,2024,21.6439,24.0458,32.6854,,,,,
COL,Colombia,2006,11.9914,39.4800,30.5500,2017.0000,1000.0000,False,World Bank Enterprise Surveys (enterprisesurveys.org),Firm-level microdata requires registration; aggregate indicators via WB API
COL,Colombia,2010,2.8085,65.1485,34.9720,2017.0000,1000.0000,False,World Bank Enterprise Surveys (enterprisesurveys.org),Firm-level microdata requires registration; aggregate indicators via WB API
COL,Colombia,2017,10.7651,62.9873,53.5554,2017.0000,1000.0000,False,World Bank Enterprise Surveys (enterprisesurveys.org),Firm-level microdata requires registration; aggregate indicators via WB API
COL,Colombia,2023,5.4014,42.1493,38.4708,2017.0000,1000.0000,False,World Bank Enterprise Surveys (enterprisesurveys.org),Firm-level microdata requires registration; aggregate indicators via WB API
DEU,Germany,2005,,35.4000,45.0000,,,,,
DEU,Germany,2021,4.2653,44.1052,30.4236,,,,,
EGY,"Egypt, Arab Rep.",2007,6.5000,21.4000,8.7000,2020.0000,2900.0000,True,World Bank Enterprise Surveys (enterprisesurveys.org),Firm-level microdata requires registration; aggregate indicators via WB API
EGY,"Egypt, Arab Rep.",2008,15.2000,21.7000,5.6000,2020.0000,2900.0000,True,World Bank Enterprise Surveys (enterprisesurveys.org),Firm-level microdata requires registration; aggregate indicators via WB API
EGY,"Egypt, Arab Rep.",2013,12.1173,5.2416,8.8739,2020.0000,2900.0000,True,World Bank Enterprise Surveys (enterprisesurveys.org),Firm-level microdata requires registration; aggregate indicators via WB API
EGY,"Egypt, Arab Rep.",2016,18.9882,10.0261,14.6182,2020.0000,2900.0000,True,World Bank Enterprise Surveys (enterprisesurveys.org),Firm-level microdata requires registration; aggregate indicators via WB API
EGY,"Egypt, Arab Rep.",2020,4.9590,7.8781,10.3380,2020.0000,2900.0000,True,World Bank Enterprise Surveys (enterprisesurveys.org),Firm-level microdata requires registration; aggregate indicators via WB API
ETH,Ethiopia,2006,12.4000,38.2000,11.0000,2015.0000,850.0000,False,World Bank Enterprise Surveys (enterprisesurveys.org),Firm-level microdata requires registration; aggregate indicators via WB API
ETH,Ethiopia,2011,3.9699,30.0214,16.6193,2015.0000,850.0000,False,World Bank Enterprise Surveys (enterprisesurveys.org),Firm-level microdata requires registration; aggregate indicators via WB API
ETH,Ethiopia,2015,8.3387,20.7889,12.8809,2015.0000,850.0000,False,World Bank Enterprise Surveys (enterprisesurveys.org),Firm-level microdata requires registration; aggregate indicators via WB API
GBR,United Kingdom,2024,0.6185,57.4701,13.2970,,,,,
GHA,Ghana,2007,38.7733,32.9890,16.0180,2013.0000,700.0000,False,World Bank Enterprise Surveys (enterprisesurveys.org),Firm-level microdata requires registration; aggregate indicators via WB API
GHA,Ghana,2013,24.3336,40.1155,21.2306,2013.0000,700.0000,False,World Bank Enterprise Surveys (enterprisesurveys.org),Firm-level microdata requires registration; aggregate indicators via WB API
GHA,Ghana,2023,22.7382,49.8419,14.0565,2013.0000,700.0000,False,World Bank Enterprise Surveys (enterprisesurveys.org),Firm-level microdata requires registration; aggregate indicators via WB API
IDN,Indonesia,2009,14.8891,4.7324,11.6744,2015.0000,1300.0000,False,World Bank Enterprise Surveys (enterprisesurveys.org),Firm-level microdata requires registration; aggregate indicators via WB API
IDN,Indonesia,2015,20.9842,7.6555,36.5868,2015.0000,1300.0000,False,World Bank Enterprise Surveys (enterprisesurveys.org),Firm-level microdata requires registration; aggregate indicators via WB API
IDN,Indonesia,2023,29.4988,8.4349,28.5851,2015.0000,1300.0000,False,World Bank Enterprise Surveys (enterprisesurveys.org),Firm-level microdata requires registration; aggregate indicators via WB API
IND,India,2006,47.5000,15.9000,46.6000,2022.0000,9000.0000,True,World Bank Enterprise Surveys (enterprisesurveys.org),Firm-level microdata requires registration; aggregate indicators via WB API
