author,quarter,quarter_str,n_models,n_edge,edge_share,total_downloads,log_downloads,n_moe,moe_share,constrained,post,post_x_constrained
01-ai,2023Q4,2023Q4,12,6,0.5,61667,11.02952043678023,0,0.0,1,1,1
01-ai,2024Q1,2024Q1,2,0,0.0,17097,9.74671677658618,0,0.0,1,1,1
01-ai,2024Q2,2024Q2,10,2,0.2,100523,11.51815178394181,0,0.0,1,1,1
01-ai,2024Q3,2024Q3,4,2,0.5,16315,9.699901500437448,0,0.0,1,1,1
BAAI,2022Q4,2022Q4,6,0,0.0,93022,11.44060205338682,0,0.0,1,1,1
BAAI,2023Q1,2023Q1,3,0,0.0,118,4.77912349311153,0,0.0,1,1,1
BAAI,2023Q2,2023Q2,3,2,0.6666666666666666,7110,8.869398159883518,0,0.0,1,1,1
BAAI,2023Q3,2023Q3,20,5,0.25,18371383,16.72630479458201,0,0.0,1,1,1
BAAI,2023Q4,2023Q4,20,5,0.25,61625,11.02883913839386,0,0.0,1,1,1
BAAI,2024Q1,2024Q1,14,5,0.35714285714285715,18583807,16.737801221911084,0,0.0,1,1,1
BAAI,2024Q2,2024Q2,20,8,0.4,4301,8.366835309827675,2,0.1,1,1,1
BAAI,2024Q3,2024Q3,22,4,0.18181818181818182,366140,12.810773784096993,0,0.0,1,1,1
BAAI,2024Q4,2024Q4,14,2,0.14285714285714285,23005,10.043510330455955,0,0.0,1,1,1
BAAI,2025Q1,2025Q1,8,1,0.125,6775,8.821142236331891,0,0.0,1,1,1
BAAI,2025Q2,2025Q2,16,3,0.1875,6606,8.795884972029885,0,0.0,1,1,1
BAAI,2025Q3,2025Q3,10,4,0.4,1328,7.192182058713246,0,0.0,1,1,1
BAAI,2025Q4,2025Q4,7,4,0.5714285714285714,3911,8.271804031154709,0,0.0,1,1,1
BAAI,2026Q1,2026Q1,2,0,0.0,953,6.860663671448287,0,0.0,1,1,1
EleutherAI,2022Q1,2022Q1,8,3,0.375,337431,12.72911928751312,0,0.0,0,0,0
EleutherAI,2022Q2,2022Q2,2,0,0.0,284355,12.557982253268438,0,0.0,0,0,0
EleutherAI,2022Q3,2022Q3,3,3,1.0,5689,8.646465527120377,0,0.0,0,0,0
EleutherAI,2022Q4,2022Q4,21,12,0.5714285714285714,26215,10.17412519037865,0,0.0,0,1,0
EleutherAI,2023Q1,2023Q1,41,18,0.43902439024390244,1948843,14.482746934239552,0,0.0,0,1,0
EleutherAI,2023Q2,2023Q2,20,10,0.5,0,0.0,0,0.0,0,1,0
EleutherAI,2023Q3,2023Q3,7,2,0.2857142857142857,59914,11.000682170116617,0,0.0,0,1,0
EleutherAI,2023Q4,2023Q4,50,30,0.6,5999,8.699514748210191,12,0.24,0,1,0
EleutherAI,2024Q1,2024Q1,359,250,0.6963788300835655,14816,9.603530449208735,0,0.0,0,1,0
EleutherAI,2024Q2,2024Q2,54,31,0.5740740740740741,741,6.60934924316738,0,0.0,0,1,0
EleutherAI,2024Q3,2024Q3,23,1,0.043478260869565216,36,3.6109179126442243,0,0.0,0,1,0
EleutherAI,2024Q4,2024Q4,5,0,0.0,34,3.5553480614894135,0,0.0,0,1,0
EleutherAI,2025Q1,2025Q1,22,17,0.7727272727272727,71,4.276666119016055,0,0.0,0,1,0
EleutherAI,2025Q2,2025Q2,45,25,0.5555555555555556,14166,9.55867059537935,0,0.0,0,1,0
EleutherAI,2025Q3,2025Q3,95,11,0.11578947368421053,2479,7.8160138391590275,0,0.0,0,1,0
EleutherAI,2025Q4,2025Q4,129,16,0.12403100775193798,2124,7.661527081358517,0,0.0,0,1,0
EleutherAI,2026Q1,2026Q1,64,1,0.015625,129,4.867534450455582,0,0.0,0,1,0
Qwen,2023Q3,2023Q3,9,3,0.3333333333333333,681330,13.431803516974224,0,0.0,1,1,1
Qwen,2023Q4,2023Q4,12,1,0.08333333333333333,15045,9.618867454120167,0,0.0,1,1,1
Qwen,2024Q1,2024Q1,40,27,0.675,438606,12.99135907471089,3,0.075,1,1,1
Qwen,2024Q2,2024Q2,45,25,0.5555555555555556,3951223,15.189535962294174,0,0.0,1,1,1
Qwen,2024Q3,2024Q3,85,57,0.6705882352941176,57061857,17.859646465434704,0,0.0,1,1,1
Qwen,2024Q4,2024Q4,27,12,0.4444444444444444,4880287,15.400714792481374,0,0.0,1,1,1
Qwen,2025Q1,2025Q1,17,8,0.47058823529411764,27170123,17.11762854524931,0,0.0,1,1,1
Qwen,2025Q2,2025Q2,86,36,0.4186046511627907,41187750,17.533651464290372,0,0.0,1,1,1
