country_code,country,year,account_ownership_female_pct,account_ownership_male_pct,account_ownership_older_pct,account_ownership_outoflaborforce_pct,account_ownership_pct_15plus,account_ownership_richest60_pct,account_ownership_young_pct,account_ownership_poorest40_pct,account_at_formal_institution_pct,borrowers_at_commercial_banks_per1k,depositors_at_commercial_banks_per1k,saved_at_financial_institution_pct
ARE,United Arab Emirates,2011,47.2084354869167,68.776231243201,73.2746809916255,61.3325678429414,59.7323702767485,64.5114079801475,26.319549289259,52.8977265477766,,6.0862958,25.3222,19.15607
ARE,United Arab Emirates,2014,67.6806200532205,89.9819822630497,88.4041523119258,84.6491162766378,83.7433268781272,88.0168623717872,66.7392514508185,77.6929587365218,886.34545,5.63672,25.85413,32.11668
ARE,United Arab Emirates,2017,76.4167186193151,92.6721593753115,90.7353321354226,88.8763739647633,88.2103911038117,91.6795236999613,60.2096192604377,82.9903703612701,1063.0947,5.2952865,26.54524,28.66788
ARE,United Arab Emirates,2021,86.6829485997078,85.3945542078018,87.1586652498761,86.3672688136874,85.7421930087712,87.2747567544942,79.4338574142122,83.3963852937825,,,22.2884,10.32469
ARG,Argentina,2011,31.8185625007432,34.6139694251615,38.3509965132977,36.8652825482259,33.1302169855518,42.0571617575241,15.5354047251279,19.6749244641824,727.22693,1.3955984,7.025817,3.800657
ARG,Argentina,2014,50.8523585472508,49.4589611838116,57.5038217985662,48.9029486274912,50.1972944916064,53.9017616080268,24.4910061858489,44.6274994192405,908.46915,1.9900644,8.4206,4.076078
ARG,Argentina,2017,50.7572521924034,46.4663784457919,53.337498149218,52.2781892882782,48.7084867377005,55.7898130512849,33.1053117819895,38.0612805090574,1148.1804,1.8303637,7.50613,7.197873
ARG,Argentina,2021,73.7532007447968,69.5619457466371,70.6820806315964,79.6931868543914,71.6270859300586,75.8196452237579,75.367146508302,65.2348173798696,,,9.083421,11.14956
ARG,Argentina,2024,84.2497432521024,78.939553062565,81.0976343350842,88.2990052725598,81.7442446865007,86.4417641162173,84.3725875762201,74.6649664777064,,,,
BGD,Bangladesh,2011,26.0116972985799,37.2916464189303,36.7621347470499,42.5051608201696,31.7436490922018,40.180988136996,20.318977301259,19.0637565730993,477.36768,5.8490015,19.36574,16.63679
BGD,Bangladesh,2014,26.4532869099198,35.3692533542347,35.4420064571501,37.2067319871017,30.9908189209299,36.2922094369265,20.8307106687882,23.0339877101303,535.31559,9.3651694,16.54761,7.446175
BGD,Bangladesh,2017,35.8363454066493,64.5861549888833,53.5263717713504,57.2312816536357,50.0469129996798,56.6799304000332,40.9932137464436,40.0787327296842,730.77505,8.8956601,14.76704,9.923267
BGD,Bangladesh,2021,43.4566925057512,62.8624571838322,54.5490534657205,56.626954818699,52.8060649194004,55.5747329795619,47.7993148449764,48.651171951709,,,12.7788,6.00856
BGD,Bangladesh,2024,33.346000280938,53.5110284170371,44.9473909356167,50.2705197195129,43.2839733431322,48.1890552430875,38.7281503087572,35.5467073317195,,,,
BOL,Bolivia,2011,25.1057670828975,31.1235855946322,32.0088183126674,34.3444391141146,28.0291327715447,37.1345180587977,19.4003244261673,14.34994342024,,1.6534877,12.14597,17.06941
BOL,Bolivia,2014,38.0391014514605,45.7563294946196,46.0816557440237,48.160385793488,41.7967196011208,52.3663153735128,31.3552852039744,25.9174602611184,,1.5,10.94711,23.53154
BOL,Bolivia,2017,53.8528340547695,54.9843918951988,59.9065252012183,60.6876814742672,54.4050564930785,62.1220325221617,41.2594457489428,42.8278338758324,,,9.5578,16.36304
BOL,Bolivia,2021,63.2896460123216,74.0406785640487,69.9053025207118,75.4125776074238,68.8854460185439,77.1521303510296,66.3624761652189,56.2876482548966,,,8.322064,20.03696
BOL,Bolivia,2024,53.4638307501513,60.3300944738612,57.9699446162011,66.7000735025256,56.849052664469,64.3795839566536,53.8238460093009,45.5603933987213,,,,
BRA,Brazil,2011,51.0178475183944,61.0977359193099,61.9852629710918,63.830033763931,55.860384771673,68.0752421636477,36.3426948471432,37.5270515006477,617.75443,3.4668641,14.67711,10.28693
BRA,Brazil,2014,64.7733123964089,71.6884249453533,73.0215753782375,74.7852819403833,68.123158518616,75.3735584249764,52.5523791164024,57.2280492408065,618.88236,2.8548,14.76513,12.32916
BRA,Brazil,2017,67.5146495479498,72.847544446556,77.2300449168169,74.3877492095888,70.0439481477435,78.9749123440625,46.66775302881,56.6252388472932,657.8005,3.585719,16.98571,14.49791
