date,value
1972-01-01,48.0691
1972-02-01,48.1928
1972-03-01,48.3947
1972-04-01,48.3823
1972-05-01,46.8288
1972-06-01,45.9394
1972-07-01,45.3792
1972-08-01,45.3826
1972-09-01,45.8935
1972-10-01,46.6302
1972-11-01,48.2106
1972-12-01,49.7312
1973-01-01,50.9571
1973-02-01,52.6909
1973-03-01,53.2961
1973-04-01,53.5169
1973-05-01,53.6336
1973-06-01,54.0981
1973-07-01,54.5476
1973-08-01,54.4239
1973-09-01,54.5538
1973-10-01,55.9297
1973-11-01,55.3361
1973-12-01,55.253
1974-01-01,54.3802
1974-02-01,54.2445
1974-03-01,53.3966
1974-04-01,52.901
1974-05-01,53.1354
1974-06-01,52.5125
1974-07-01,53.6642
1974-08-01,54.2853
1974-09-01,53.8654
1974-10-01,55.1677
1974-11-01,54.7131
1974-12-01,53.7875
1975-01-01,53.3919
1975-02-01,50.2791
1975-03-01,50.6779
1975-04-01,50.242
1975-05-01,51.9184
1975-06-01,51.7396
1975-07-01,50.5982
1975-08-01,49.6849
1975-09-01,50.4212
1975-10-01,50.4468
1975-11-01,48.9256
1975-12-01,50.1611
1976-01-01,49.9188
1976-02-01,49.5856
1976-03-01,49.4109
1976-04-01,47.7961
1976-05-01,47.3913
1976-06-01,46.4717
1976-07-01,44.3884
1976-08-01,45.4023
1976-09-01,45.2633
1976-10-01,45.1093
1976-11-01,45.3439
1976-12-01,45.5873
1977-01-01,46.1458
1977-02-01,46.8035
1977-03-01,45.6171
1977-04-01,47.9002
1977-05-01,48.7369
1977-06-01,49.7936
1977-07-01,48.7114
1977-08-01,47.2706
1977-09-01,46.9681
1977-10-01,41.8068
1977-11-01,41.1545
1977-12-01,43.9185
1978-01-01,45.07
1978-02-01,43.65
1978-03-01,48.8
1978-04-01,49.6598
1978-05-01,51.1033
1978-06-01,52.2399
1978-07-01,52.8885
1978-08-01,54.7821
1978-09-01,55.6655
1978-10-01,55.9541
1978-11-01,56.1319
1978-12-01,56.7801
1979-01-01,58.0585
1979-02-01,60.2494
1979-03-01,60.7217
1979-04-01,59.6817
1979-05-01,61.1073
1979-06-01,62.2435
1979-07-01,63.5634
1979-08-01,63.7668
1979-09-01,63.7817
1979-10-01,65.9044
1979-11-01,66.436
1979-12-01,67.5053
1980-01-01,67.9186
1980-02-01,69.5493
1980-03-01,69.789
1980-04-01,69.5005
1980-05-01,69.512
1980-06-01,69.7285
1980-07-01,70.2407
1980-08-01,70.5834
1980-09-01,70.6136
1980-10-01,72.34
1980-11-01,73.4784
1980-12-01,73.7437
1981-01-01,72.0077
1981-02-01,70.7625
1981-03-01,69.9138
1981-04-01,69.1501
1981-05-01,68.0488
1981-06-01,66.7918
1981-07-01,65.8743
1981-08-01,65.6664
1981-09-01,66.031
1981-10-01,65.6889
1981-11-01,65.2098
1981-12-01,65.713
1982-01-01,63.9176
1982-02-01,65.9056
1982-03-01,65.1336
1982-04-01,64.2596
1982-05-01,64.1559
1982-06-01,63.9169
1982-07-01,64.3841
1982-08-01,64.0315
1982-09-01,65.1591
1982-10-01,66.2149
1982-11-01,67.0846
1982-12-01,67.5184
1983-01-01,67.0744
1983-02-01,66.4727
1983-03-01,66.1102
1983-04-01,64.8076
1983-05-01,63.7747
1983-06-01,62.4209
1983-07-01,62.0554
1983-08-01,62.6505
1983-09-01,62.3285
1983-10-01,62.5752
1983-11-01,62.6443
1983-12-01,63.313
1984-01-01,64.2792
1984-02-01,65.6171
1984-03-01,65.6515
1984-04-01,66.8602
1984-05-01,67.4865
1984-06-01,68.3779
1984-07-01,67.7046
1984-08-01,69.173
1984-09-01,70.7581
1984-10-01,72.0448
1984-11-01,71.2745
1984-12-01,72.4837
1985-01-01,73.0614
1985-02-01,72.5251
1985-03-01,73.9499
1985-04-01,74.016
1985-05-01,74.0128
1985-06-01,75.0646
1985-07-01,74.6475
1985-08-01,76.3586
1985-09-01,76.4481
1985-10-01,77.8838
1985-11-01,78.8168
1985-12-01,78.6576
1986-01-01,80.4022
1986-02-01,79.413
1986-03-01,79.7917
1986-04-01,80.7886
1986-05-01,81.1183
1986-06-01,81.1597
1986-07-01,81.625
1986-08-01,82.8498
1986-09-01,82.631
1986-10-01,83.4174
1986-11-01,84.2003
1986-12-01,84.1491
1987-01-01,84.4195
1987-02-01,85.1268
1987-03-01,85.2284
1987-04-01,85.5231
1987-05-01,85.2679
1987-06-01,84.6894
1987-07-01,84.7216
1987-08-01,85.8639
1987-09-01,86.1491
1987-10-01,86.0733
1987-11-01,86.2858
1987-12-01,88.1222
1988-01-01,90.3329
1988-02-01,88.9716
1988-03-01,87.5733
1988-04-01,87.81
1988-05-01,88.7293
1988-06-01,89.1044
1988-07-01,91.107
1988-08-01,90.1941
1988-09-01,90.3
1988-10-01,90.8684
1988-11-01,91.6893
1988-12-01,92.0803
1989-01-01,92.4192
1989-02-01,93.3042
1989-03-01,94.178
1989-04-01,96.8865
1989-05-01,98.5851
1989-06-01,100.0905
1989-07-01,99.5528
1989-08-01,98.1635
1989-09-01,97.8476
1989-10-01,90.5883
1989-11-01,89.0632
1989-12-01,92.7338
1990-01-01,93.6546
1990-02-01,95.0079
1990-03-01,96.1605
1990-04-01,95.541
1990-05-01,95.7366
1990-06-01,95.599
1990-07-01,96.6057
1990-08-01,95.7322
1990-09-01,95.9665
1990-10-01,96.5021
1990-11-01,95.2196
1990-12-01,95.6114
1991-01-01,96.2514
1991-02-01,95.2424
1991-03-01,95.1347
1991-04-01,93.3202
1991-05-01,91.858
1991-06-01,92.7046
1991-07-01,91.6226
1991-08-01,92.5734
1991-09-01,91.8909
1991-10-01,92.4469
1991-11-01,91.5979
1991-12-01,89.8489
1992-01-01,88.3818
1992-02-01,87.3936
1992-03-01,86.7105
1992-04-01,84.7335
1992-05-01,83.7681
1992-06-01,83.4304
1992-07-01,82.9337
1992-08-01,83.0605
1992-09-01,82.4304
1992-10-01,82.343
1992-11-01,82.0814
1992-12-01,82.7398
1993-01-01,82.1659
1993-02-01,81.0943
1993-03-01,79.6979
1993-04-01,78.7154
1993-05-01,77.7527
1993-06-01,76.4197
1993-07-01,77.0556
1993-08-01,74.9913
1993-09-01,75.6961
1993-10-01,74.6987
1993-11-01,73.8972
1993-12-01,72.8369
1994-01-01,71.6407
1994-02-01,69.9546
1994-03-01,69.4705
1994-04-01,68.5887
1994-05-01,67.5034
1994-06-01,66.7472
1994-07-01,65.8945
1994-08-01,65.0656
1994-09-01,65.406
1994-10-01,65.2485
1994-11-01,65.6807
1994-12-01,65.63
1995-01-01,65.1387
1995-02-01,65.0765
1995-03-01,65.0134
1995-04-01,64.8933
1995-05-01,64.9057
1995-06-01,66.512
1995-07-01,65.2459
1995-08-01,64.547
1995-09-01,63.065
1995-10-01,59.176
1995-11-01,58.2699
1995-12-01,58.0606
1996-01-01,58.1224
1996-02-01,61.5791
1996-03-01,62.9499
1996-04-01,65.2218
1996-05-01,66.6818
1996-06-01,67.0148
1996-07-01,68.4766
1996-08-01,67.9104
1996-09-01,68.576
1996-10-01,69.6264
1996-11-01,70.0968
1996-12-01,70.8045
1997-01-01,70.6643
1997-02-01,71.4114
1997-03-01,72.1944
1997-04-01,74.0937
1997-05-01,73.8912
1997-06-01,74.1561
1997-07-01,74.9395
1997-08-01,75.7063
1997-09-01,77.1074
1997-10-01,78.2877
1997-11-01,79.1204
1997-12-01,80.8306
1998-01-01,81.7173
1998-02-01,83.8397
1998-03-01,85.1416
1998-04-01,85.781
1998-05-01,87.7383
1998-06-01,89.3713
1998-07-01,91.3924
1998-08-01,92.6512
1998-09-01,92.6399
1998-10-01,93.8513
1998-11-01,92.8264
1998-12-01,92.1377
1999-01-01,90.3019
1999-02-01,89.8325
1999-03-01,88.0032
1999-04-01,87.2936
1999-05-01,86.1592
1999-06-01,85.1681
1999-07-01,84.6025
1999-08-01,83.3884
1999-09-01,80.9666
1999-10-01,79.0731
1999-11-01,76.6932
1999-12-01,74.5501
2000-01-01,74.2048
2000-02-01,70.1755
2000-03-01,69.8349
2000-04-01,67.9128
2000-05-01,67.8808
2000-06-01,68.7742
2000-07-01,70.0521
2000-08-01,69.1969
2000-09-01,69.0887
2000-10-01,71.0174
2000-11-01,72.8209
2000-12-01,73.0606
2001-01-01,74.3927
2001-02-01,75.1362
2001-03-01,76.5401
2001-04-01,76.1922
2001-05-01,77.2058
2001-06-01,77.7484
2001-07-01,78.2907
2001-08-01,78.513
2001-09-01,79.3222
2001-10-01,79.4221
2001-11-01,77.6062
2001-12-01,75.5069
2002-01-01,75.4737
2002-02-01,74.0115
2002-03-01,73.5947
2002-04-01,71.6141
2002-05-01,70.5912
2002-06-01,69.4447
2002-07-01,69.0776
2002-08-01,68.3875
2002-09-01,67.974
2002-10-01,68.1914
2002-11-01,66.7989
2002-12-01,67.1356
2003-01-01,66.753
2003-02-01,66.9402
2003-03-01,67.879
2003-04-01,67.8046
2003-05-01,67.0113
2003-06-01,66.2167
2003-07-01,65.9752
2003-08-01,65.1616
2003-09-01,64.9658
2003-10-01,64.9227
2003-11-01,64.0279
2003-12-01,63.2863
2004-01-01,61.4054
2004-02-01,62.5583
2004-03-01,62.3586
2004-04-01,62.4653
2004-05-01,62.0159
2004-06-01,62.1394
2004-07-01,63.1854
2004-08-01,63.8522
2004-09-01,64.5266
2004-10-01,64.9434
2004-11-01,66.3268
2004-12-01,67.5877
2005-01-01,67.0098
2005-02-01,69.8077
2005-03-01,71.688
2005-04-01,73.6251
2005-05-01,75.2561
2005-06-01,74.705
2005-07-01,73.3811
2005-08-01,75.4362
2005-09-01,62.9368
2005-10-01,73.9757
2005-11-01,76.1348
2005-12-01,74.6082
2006-01-01,75.547
2006-02-01,77.2396
2006-03-01,75.532
2006-04-01,76.5346
2006-05-01,76.5809
2006-06-01,76.6225
2006-07-01,77.2107
2006-08-01,77.3366
2006-09-01,78.0015
2006-10-01,78.5769
2006-11-01,79.5488
2006-12-01,79.9283
2007-01-01,80.9175
2007-02-01,83.1092
2007-03-01,83.5873
2007-04-01,84.6819
2007-05-01,86.907
2007-06-01,89.4174
2007-07-01,91.2011
2007-08-01,93.9622
2007-09-01,96.6204
2007-10-01,98.089
2007-11-01,99.4459
2007-12-01,98.8109
2008-01-01,99.7299
2008-02-01,97.4138
2008-03-01,98.8173
2008-04-01,98.7719
2008-05-01,99.3391
2008-06-01,97.5658
2008-07-01,93.9859
2008-08-01,89.853
2008-09-01,71.0326
2008-10-01,67.5822
2008-11-01,75.3672
2008-12-01,84.8581
2009-01-01,84.0542
2009-02-01,85.5626
2009-03-01,85.4484
2009-04-01,83.4577
2009-05-01,81.6279
2009-06-01,80.4635
2009-07-01,80.8317
2009-08-01,81.1288
2009-09-01,83.4348
2009-10-01,83.0763
2009-11-01,82.7725
2009-12-01,83.5252
2010-01-01,84.8531
2010-02-01,84.5264
2010-03-01,85.7548
2010-04-01,85.7526
2010-05-01,85.769
2010-06-01,86.01
2010-07-01,87.1506
2010-08-01,87.7804
2010-09-01,86.855
2010-10-01,85.4446
2010-11-01,84.9393
2010-12-01,84.3524
2011-01-01,83.0145
2011-02-01,82.2921
2011-03-01,82.6716
2011-04-01,82.736
2011-05-01,83.4596
2011-06-01,83.9846
2011-07-01,85.5033
2011-08-01,86.3604
2011-09-01,87.3591
2011-10-01,88.6241
2011-11-01,89.7989
2011-12-01,89.6446
2012-01-01,90.2698
2012-02-01,92.9912
2012-03-01,92.8625
2012-04-01,92.7967
2012-05-01,93.9763
2012-06-01,94.5313
2012-07-01,96.1779
2012-08-01,96.7209
2012-09-01,96.6991
2012-10-01,98.5626
2012-11-01,97.386
2012-12-01,98.0534
2013-01-01,98.3188
2013-02-01,98.0567
2013-03-01,97.8362
2013-04-01,98.5766
2013-05-01,97.6168
2013-06-01,97.322
2013-07-01,95.1825
2013-08-01,97.0933
2013-09-01,96.976
2013-10-01,98.4919
2013-11-01,97.4786
2013-12-01,97.5014
2014-01-01,97.5054
2014-02-01,98.4886
2014-03-01,100.3371
2014-04-01,101.0332
2014-05-01,102.2402
2014-06-01,102.4145
2014-07-01,103.789
2014-08-01,103.3051
2014-09-01,104.1463
2014-10-01,105.293
2014-11-01,105.6824
2014-12-01,106.0628
2015-01-01,104.7137
2015-02-01,106.6097
2015-03-01,106.2987
2015-04-01,105.5145
2015-05-01,104.5861
2015-06-01,103.0937
2015-07-01,102.1194
2015-08-01,101.7729
2015-09-01,100.7726
2015-10-01,99.6687
2015-11-01,98.3564
2015-12-01,98.3107
2016-01-01,95.9863
2016-02-01,96.2708
2016-03-01,95.9738
2016-04-01,95.2676
2016-05-01,96.5644
2016-06-01,94.9225
2016-07-01,94.2186
2016-08-01,95.0124
2016-09-01,94.6894
2016-10-01,95.1861
2016-11-01,96.0074
2016-12-01,96.2235
2017-01-01,95.7834
2017-02-01,96.809
2017-03-01,96.7665
2017-04-01,98.3746
2017-05-01,98.8573
2017-06-01,99.6077
2017-07-01,99.5833
2017-08-01,101.9544
2017-09-01,102.5825
2017-10-01,102.8763
2017-11-01,103.6895
2017-12-01,103.1155
2018-01-01,102.98
2018-02-01,103.0921
2018-03-01,102.5465
2018-04-01,103.1691
2018-05-01,101.8146
2018-06-01,101.9652
2018-07-01,99.848
2018-08-01,98.4642
2018-09-01,97.702
2018-10-01,95.9378
2018-11-01,94.7551
2018-12-01,94.2847
2019-01-01,92.4008
2019-02-01,92.2172
2019-03-01,91.6887
2019-04-01,89.4181
2019-05-01,87.1526
2019-06-01,87.687
2019-07-01,87.9716
2019-08-01,88.0006
2019-09-01,88.9887
2019-10-01,90.5984
2019-11-01,90.6086
2019-12-01,90.0315
2020-01-01,78.7058
2020-02-01,75.0514
2020-03-01,72.3624
2020-04-01,54.3996
2020-05-01,63.9834
2020-06-01,64.1094
2020-07-01,68.8072
2020-08-01,71.2426
2020-09-01,73.208
2020-10-01,74.4059
2020-11-01,75.6016
2020-12-01,75.2662
2021-01-01,80.254
2021-02-01,79.3789
2021-03-01,78.6838
2021-04-01,76.1896
2021-05-01,74.4583
2021-06-01,75.0219
2021-07-01,75.787
2021-08-01,73.6184
2021-09-01,73.1443
2021-10-01,72.5968
2021-11-01,72.2277
2021-12-01,71.3739
2022-01-01,71.5174
2022-02-01,72.2907
2022-03-01,72.5515
2022-04-01,74.3632
2022-05-01,73.6071
2022-06-01,73.9185
2022-07-01,74.7384
2022-08-01,75.5371
2022-09-01,75.6919
2022-10-01,77.6638
2022-11-01,77.908
2022-12-01,78.4182
2023-01-01,78.2853
2023-02-01,78.3315
2023-03-01,78.192
2023-04-01,78.7171
2023-05-01,80.4359
2023-06-01,81.2425
2023-07-01,81.8789
2023-08-01,82.84
2023-09-01,83.0244
2023-10-01,84.1059
2023-11-01,84.8381
2023-12-01,84.3653
2024-01-01,85.1704
2024-02-01,84.7539
2024-03-01,85.1103
2024-04-01,86.3816
2024-05-01,86.1854
2024-06-01,85.9743
2024-07-01,85.6657
2024-08-01,87.3527
2024-09-01,78.9279
2024-10-01,71.7779
2024-11-01,72.022
2024-12-01,79.6994
2025-01-01,85.6148
2025-02-01,87.2455
2025-03-01,88.7782
2025-04-01,89.2744
