date,value
1913-01-01,34.5
1913-02-01,34.4
1913-03-01,43.9
1913-04-01,57.6
1913-05-01,54.9
1913-06-01,51.5
1913-07-01,33.2
1913-08-01,29.2
1913-09-01,27.0
1913-10-01,25.9
1913-11-01,30.6
1913-12-01,38.8
1914-01-01,44.4
1914-02-01,46.6
1914-03-01,58.0
1914-04-01,68.0
1914-05-01,53.5
1914-06-01,43.0
1914-07-01,29.2
1914-08-01,46.8
1914-09-01,52.1
1914-10-01,41.6
1914-11-01,30.5
1914-12-01,30.0
1915-01-01,28.3
1915-02-01,44.9
1915-03-01,88.6
1915-04-01,95.5
1915-05-01,81.1
1915-06-01,83.8
1915-07-01,59.1
1915-08-01,76.2
1915-09-01,91.8
1915-10-01,80.5
1915-11-01,78.2
1915-12-01,87.8
1916-01-01,100.8
1916-02-01,117.5
1916-03-01,153.2
1916-04-01,143.4
1916-05-01,147.8
1916-06-01,133.4
1916-07-01,112.8
1916-08-01,99.3
1916-09-01,132.1
1916-10-01,125.9
1916-11-01,131.8
1916-12-01,127.6
1917-01-01,116.8
1917-02-01,138.8
1917-03-01,157.9
1917-04-01,163.6
1917-05-01,175.6
1917-06-01,162.9
1917-07-01,154.6
1917-08-01,132.2
1917-09-01,148.6
1917-10-01,152.1
1917-11-01,140.8
1917-12-01,101.8
1918-01-01,81.6
1918-02-01,95.2
1918-03-01,112.3
1918-04-01,130.4
1918-05-01,118.6
1918-06-01,97.2
1918-07-01,93.9
1918-08-01,67.1
1918-09-01,39.6
1918-10-01,30.1
1918-11-01,29.9
1918-12-01,47.5
1919-01-01,76.4
1919-02-01,97.1
1919-03-01,124.6
1919-04-01,145.4
1919-05-01,154.8
1919-06-01,144.8
1919-07-01,142.1
1919-08-01,140.5
1919-09-01,154.1
1919-10-01,177.3
1919-11-01,161.6
1919-12-01,139.0
1920-01-01,157.1
1920-02-01,158.9
1920-03-01,193.6
1920-04-01,149.5
1920-05-01,182.0
1920-06-01,192.8
1920-07-01,181.1
1920-08-01,176.2
1920-09-01,160.5
1920-10-01,138.0
1920-11-01,118.9
1920-12-01,96.8
1921-01-01,45.4
1921-02-01,60.3
1921-03-01,98.9
1921-04-01,137.6
1921-05-01,144.1
1921-06-01,177.1
1921-07-01,163.8
1921-08-01,166.3
1921-09-01,142.9
1921-10-01,132.6
1921-11-01,103.5
1921-12-01,69.4
1922-01-01,78.0
1922-02-01,103.0
1922-03-01,149.0
1922-04-01,194.0
1922-05-01,229.0
1922-06-01,250.0
1922-07-01,221.0
1922-08-01,244.0
1922-09-01,185.0
1922-10-01,209.0
1922-11-01,207.0
1922-12-01,203.0
1923-01-01,223.0
1923-02-01,253.0
1923-03-01,321.0
1923-04-01,337.0
1923-05-01,347.0
1923-06-01,335.0
1923-07-01,299.0
1923-08-01,313.0
1923-09-01,299.0
1923-10-01,335.0
1923-11-01,285.0
1923-12-01,277.0
1924-01-01,286.0
1924-02-01,335.0
1924-03-01,345.0
1924-04-01,335.0
1924-05-01,275.0
1924-06-01,220.0
1924-07-01,239.0
1924-08-01,252.0
1924-09-01,261.0
1924-10-01,258.0
1924-11-01,202.0
1924-12-01,177.0
1925-01-01,210.0
1925-02-01,247.0
1925-03-01,326.0
1925-04-01,381.0
1925-05-01,371.0
1925-06-01,357.0
1925-07-01,354.0
1925-08-01,222.0
1925-09-01,266.0
1925-10-01,392.0
1925-11-01,329.0
1925-12-01,281.0
1926-01-01,276.0
1926-02-01,323.0
1926-03-01,385.0
1926-04-01,385.0
1926-05-01,375.0
1926-06-01,341.0
1926-07-01,317.0
1926-08-01,381.0
1926-09-01,352.0
1926-10-01,290.0
1926-11-01,220.0
1926-12-01,138.0
1927-01-01,198.0
1927-02-01,263.0
1927-03-01,344.0
1927-04-01,357.0
1927-05-01,357.0
1927-06-01,280.0
1927-07-01,238.0
1927-08-01,276.0
1927-09-01,226.0
1927-10-01,183.0
1927-11-01,110.0
1927-12-01,106.0
1928-01-01,206.0
1928-02-01,291.0
1928-03-01,371.0
1928-04-01,364.0
1928-05-01,375.0
1928-06-01,356.0
1928-07-01,338.0
1928-08-01,399.0
1928-09-01,358.0
1928-10-01,339.0
1928-11-01,216.0
1928-12-01,204.0
1929-01-01,348.0
1929-02-01,406.0
1929-03-01,514.0
1929-04-01,538.0
1929-05-01,516.0
1929-06-01,453.0
1929-07-01,426.0
1929-08-01,442.0
1929-09-01,364.0
1929-10-01,319.0
1929-11-01,170.0
1929-12-01,92.0
1930-01-01,234.0
1930-02-01,280.0
1930-03-01,331.0
1930-04-01,373.0
1930-05-01,361.0
1930-06-01,286.0
1930-07-01,222.0
1930-08-01,184.0
1930-09-01,176.0
1930-10-01,114.0
1930-11-01,101.0
1930-12-01,122.0
1931-01-01,138.0
1931-02-01,180.0
1931-03-01,231.0
1931-04-01,287.0
1931-05-01,271.0
1931-06-01,210.0
1931-07-01,184.0
1931-08-01,155.0
1931-09-01,109.0
1931-10-01,58.0
1931-11-01,49.0
1931-12-01,98.0
1932-01-01,99.0
1932-02-01,94.0
1932-03-01,99.0
1932-04-01,121.0
1932-05-01,158.0
1932-06-01,160.0
1932-07-01,95.0
1932-08-01,76.0
1932-09-01,65.0
1932-10-01,35.0
1932-11-01,48.0
1932-12-01,86.0
1933-01-01,110.0
1933-02-01,90.0
1933-03-01,97.0
1933-04-01,150.0
1933-05-01,181.0
1933-06-01,208.0
1933-07-01,191.0
1933-08-01,191.0
1933-09-01,157.0
1933-10-01,105.0
1933-11-01,42.0
1933-12-01,51.0
1934-01-01,113.0
1934-02-01,187.0
1934-03-01,279.0
1934-04-01,288.0
1934-05-01,274.0
1934-06-01,261.0
1934-07-01,223.0
1934-08-01,184.0
1934-09-01,125.0
1934-10-01,84.0
1934-11-01,49.0
1934-12-01,111.0
1935-01-01,228.0
1935-02-01,274.0
1935-03-01,359.0
1935-04-01,387.0
1935-05-01,306.0
1935-06-01,294.0
1935-07-01,274.0
1935-08-01,181.0
1935-09-01,56.0
1935-10-01,213.0
1935-11-01,337.0
1935-12-01,343.0
1936-01-01,298.0
1936-02-01,224.0
1936-03-01,343.0
1936-04-01,416.0
1936-05-01,385.0
1936-06-01,375.0
1936-07-01,372.0
1936-08-01,209.0
1936-09-01,90.0
1936-10-01,190.0
1936-11-01,341.0
1936-12-01,425.0
1937-01-01,309.0
1937-02-01,297.0
1937-03-01,404.0
1937-04-01,440.0
1937-05-01,425.0
1937-06-01,411.0
1937-07-01,360.0
1937-08-01,311.0
1937-09-01,119.0
1937-10-01,299.0
1937-11-01,295.0
1937-12-01,244.0
1938-01-01,156.0
1938-02-01,139.0
1938-03-01,174.0
1938-04-01,176.0
1938-05-01,155.0
1938-06-01,137.0
1938-07-01,107.0
1938-08-01,59.0
1938-09-01,65.0
1938-10-01,187.0
1938-11-01,320.0
1938-12-01,326.0
1939-01-01,281.0
1939-02-01,243.0
1939-03-01,300.0
1939-04-01,273.0
1939-05-01,238.0
1939-06-01,247.0
1939-07-01,151.0
1939-08-01,61.0
1939-09-01,162.0
1939-10-01,252.0
1939-11-01,285.0
1939-12-01,374.0
1940-01-01,363.0
1940-02-01,338.0
1940-03-01,353.0
1940-04-01,362.0
1940-05-01,326.0
1940-06-01,286.0
1940-07-01,169.0
1940-08-01,47.0
1940-09-01,224.0
1940-10-01,421.0
1940-11-01,407.0
1940-12-01,397.0
1941-01-01,411.0
1941-02-01,395.0
1941-03-01,410.0
1941-04-01,375.0
1941-05-01,418.0
1941-06-01,419.0
1941-07-01,344.0
1941-08-01,79.0
1941-09-01,168.0
1941-10-01,296.0
1941-11-01,256.0
1941-12-01,175.0
1942-01-01,148.0
1942-02-01,52.0
1942-03-01,6.0
