date,value
1995-01-03,1.29
1995-01-04,1.28
1995-01-05,1.27
1995-01-06,1.22
1995-01-09,1.25
1995-01-10,1.26
1995-01-11,1.31
1995-01-12,1.32
1995-01-13,1.35
1995-01-17,1.34
1995-01-18,1.32
1995-01-19,1.32
1995-01-20,1.31
1995-01-23,1.33
1995-01-24,1.3
1995-01-25,1.32
1995-01-26,1.31
1995-01-27,1.31
1995-01-30,1.31
1995-01-31,1.33
1995-02-01,1.28
1995-02-02,1.29
1995-02-03,1.32
1995-02-06,1.32
1995-02-07,1.32
1995-02-08,1.33
1995-02-09,1.3
1995-02-10,1.32
1995-02-13,1.32
1995-02-14,1.36
1995-02-15,1.37
1995-02-16,1.42
1995-02-17,1.4
1995-02-21,1.41
1995-02-22,1.46
1995-02-23,1.47
1995-02-24,1.49
1995-02-27,1.52
1995-02-28,1.53
1995-03-01,1.49
1995-03-02,1.47
1995-03-03,1.46
1995-03-06,1.46
1995-03-07,1.46
1995-03-08,1.44
1995-03-09,1.48
1995-03-10,1.47
1995-03-13,1.49
1995-03-14,1.5
1995-03-15,1.53
1995-03-16,1.53
1995-03-17,1.52
1995-03-20,1.53
1995-03-21,1.52
1995-03-22,1.53
1995-03-23,1.51
1995-03-24,1.55
1995-03-27,1.54
1995-03-28,1.49
1995-03-29,1.48
1995-03-30,1.48
1995-03-31,1.49
1995-04-03,1.5
1995-04-04,1.49
1995-04-05,1.5
1995-04-06,1.52
1995-04-07,1.52
1995-04-10,1.52
1995-04-11,1.54
1995-04-12,1.55
1995-04-13,1.55
1995-04-17,1.56
1995-04-18,1.58
1995-04-19,1.54
1995-04-20,1.55
1995-04-21,1.58
1995-04-24,1.55
1995-04-25,1.55
1995-04-26,1.55
1995-04-27,1.53
1995-04-28,1.51
1995-05-01,1.48
1995-05-02,1.49
1995-05-03,1.52
1995-05-04,1.53
1995-05-05,1.58
1995-05-08,1.57
1995-05-09,1.61
1995-05-10,1.58
1995-05-11,1.58
1995-05-12,1.58
1995-05-15,1.58
1995-05-16,1.56
1995-05-17,1.57
1995-05-18,1.55
1995-05-19,1.54
1995-05-22,1.53
1995-05-23,1.56
1995-05-24,1.59
1995-05-25,1.61
1995-05-26,1.63
1995-05-30,1.65
1995-05-31,1.66
1995-06-01,1.71
1995-06-02,1.71
1995-06-05,1.73
1995-06-06,1.72
1995-06-07,1.65
1995-06-08,1.65
1995-06-09,1.62
1995-06-12,1.66
1995-06-13,1.8
1995-06-14,1.78
1995-06-15,1.78
1995-06-16,1.76
1995-06-19,1.77
1995-06-20,1.75
1995-06-21,1.77
1995-06-22,1.76
1995-06-23,1.78
1995-06-26,1.76
1995-06-27,1.74
1995-06-28,1.76
1995-06-29,1.71
1995-06-30,1.74
