,CTINFONQGSP
2005-01-01,8488.5
2005-04-01,9065.1
2005-07-01,8386.9
2005-10-01,8452.5
2006-01-01,8658.0
2006-04-01,9075.3
2006-07-01,9136.9
2006-10-01,9130.6
2007-01-01,9683.9
2007-04-01,10394.4
2007-07-01,10622.8
2007-10-01,10286.8
2008-01-01,10721.4
2008-04-01,11019.7
2008-07-01,10988.4
2008-10-01,10735.3
2009-01-01,10577.4
2009-04-01,10418.3
2009-07-01,10393.9
2009-10-01,11164.8
2010-01-01,10448.5
2010-04-01,10461.8
2010-07-01,10851.5
2010-10-01,10872.7
2011-01-01,10711.0
2011-04-01,10426.3
2011-07-01,10555.1
2011-10-01,10318.7
2012-01-01,10005.4
2012-04-01,10194.3
2012-07-01,10040.4
2012-10-01,10303.1
2013-01-01,11117.9
2013-04-01,11779.5
2013-07-01,11872.3
2013-10-01,11249.2
2014-01-01,11334.0
2014-04-01,11419.6
2014-07-01,11755.3
2014-10-01,12237.1
2015-01-01,12956.2
2015-04-01,13084.5
2015-07-01,13611.1
2015-10-01,13571.3
2016-01-01,13702.9
2016-04-01,14108.2
2016-07-01,14336.1
2016-10-01,14856.0
2017-01-01,13539.0
2017-04-01,14335.2
2017-07-01,14255.1
2017-10-01,14326.0
2018-01-01,14067.5
2018-04-01,14245.8
2018-07-01,15024.9
2018-10-01,15305.5
2019-01-01,16084.8
2019-04-01,16510.7
2019-07-01,16616.4
2019-10-01,15992.6
2020-01-01,16512.9
2020-04-01,14930.7
2020-07-01,15590.4
2020-10-01,15675.0
2021-01-01,15568.0
2021-04-01,17838.5
2021-07-01,17505.5
2021-10-01,16265.5
2022-01-01,17696.7
2022-04-01,16451.5
2022-07-01,16654.7
2022-10-01,18285.4
2023-01-01,17296.9
2023-04-01,17960.2
2023-07-01,18626.3
2023-10-01,19156.0
