date,value
1995-01-01,-10.2
1995-04-01,-6.8
1995-07-01,-8.6
1995-10-01,-5.2
1996-01-01,6.9
1996-04-01,-1.8
1996-07-01,-7.4
1996-10-01,-8.6
1997-01-01,-8.9
1997-04-01,-10.3
1997-07-01,-5.8
1997-10-01,-7.0
1998-01-01,1.8
1998-04-01,-7.1
1998-07-01,0.0
1998-10-01,36.4
1999-01-01,7.4
1999-04-01,10.0
1999-07-01,5.4
1999-10-01,9.1
2000-01-01,10.9
2000-04-01,24.6
2000-07-01,33.9
2000-10-01,43.9
2001-01-01,59.6
2001-04-01,50.9
2001-07-01,40.4
2001-10-01,50.9
2002-01-01,45.5
2002-04-01,25.0
2002-07-01,21.4
2002-10-01,20.0
2003-01-01,22.0
2003-04-01,8.9
2003-07-01,3.4
2003-10-01,0.0
2004-01-01,-17.9
2004-04-01,-22.8
2004-07-01,-20.0
2004-10-01,-21.1
2005-01-01,-23.6
2005-04-01,-24.1
2005-07-01,-16.7
2005-10-01,-8.8
2006-01-01,-10.7
2006-04-01,-12.3
2006-07-01,-8.9
2006-10-01,0.0
2007-01-01,0.0
2007-04-01,-3.8
2007-07-01,7.5
2007-10-01,19.2
2008-01-01,32.1
2008-04-01,55.4
2008-07-01,57.7
2008-10-01,83.6
2009-01-01,64.2
2009-04-01,39.6
2009-07-01,31.5
2009-10-01,14.0
2010-01-01,-5.5
2010-04-01,-7.1
2010-07-01,-8.8
2010-10-01,-10.5
2011-01-01,-10.5
2011-04-01,-16.4
2011-07-01,-21.8
2011-10-01,-5.9
2012-01-01,5.4
2012-04-01,-6.9
2012-07-01,-9.5
2012-10-01,-7.6
