date,value
1995-01-01,-5.3
1995-04-01,-7.0
1995-07-01,-1.8
1995-10-01,-1.8
1996-01-01,3.5
1996-04-01,1.8
1996-07-01,-1.8
1996-10-01,-12.3
1997-01-01,-5.3
1997-04-01,-3.5
1997-07-01,-2.0
1997-10-01,-3.5
1998-01-01,1.9
1998-04-01,-1.8
1998-07-01,-5.3
1998-10-01,14.8
1999-01-01,3.7
1999-04-01,8.3
1999-07-01,1.9
1999-10-01,1.9
2000-01-01,9.4
2000-04-01,21.4
2000-07-01,23.6
2000-10-01,27.3
2001-01-01,45.5
2001-04-01,36.4
2001-07-01,31.6
2001-10-01,40.4
2002-01-01,41.8
2002-04-01,14.5
2002-07-01,5.5
2002-10-01,18.2
2003-01-01,13.8
2003-04-01,12.7
2003-07-01,3.5
2003-10-01,-1.8
2004-01-01,-10.9
2004-04-01,-19.3
2004-07-01,-3.6
2004-10-01,-18.2
2005-01-01,-13.0
2005-04-01,-24.1
2005-07-01,-11.1
2005-10-01,-5.3
2006-01-01,-7.1
2006-04-01,-7.0
2006-07-01,-1.8
2006-10-01,-1.9
2007-01-01,5.4
2007-04-01,1.9
2007-07-01,7.7
2007-10-01,9.6
2008-01-01,30.4
2008-04-01,51.8
2008-07-01,65.4
2008-10-01,74.5
2009-01-01,69.2
2009-04-01,42.3
2009-07-01,34.0
2009-10-01,16.1
2010-01-01,3.7
2010-04-01,0.0
2010-07-01,-9.1
2010-10-01,-7.1
2011-01-01,-1.9
2011-04-01,-13.5
2011-07-01,-7.8
2011-10-01,-6.3
2012-01-01,1.9
2012-04-01,-1.8
2012-07-01,-4.9
2012-10-01,-7.6
