,HIMANNQGSP
2005-01-01,1122.9
2005-04-01,1133.5
2005-07-01,1148.9
2005-10-01,1169.1
2006-01-01,1177.7
2006-04-01,1191.0
2006-07-01,1192.9
2006-10-01,1186.7
2007-01-01,1135.7
2007-04-01,1199.8
2007-07-01,1228.1
2007-10-01,1268.1
2008-01-01,1338.3
2008-04-01,1394.6
2008-07-01,1432.3
2008-10-01,1330.7
2009-01-01,1275.2
2009-04-01,1358.5
2009-07-01,1327.5
2009-10-01,1349.6
2010-01-01,1282.9
2010-04-01,1255.1
2010-07-01,1246.7
2010-10-01,1264.3
2011-01-01,1271.3
2011-04-01,1287.8
2011-07-01,1264.6
2011-10-01,1285.8
2012-01-01,1361.7
2012-04-01,1355.0
2012-07-01,1361.8
2012-10-01,1312.4
2013-01-01,1399.8
2013-04-01,1334.0
2013-07-01,1383.4
2013-10-01,1466.4
2014-01-01,1495.4
2014-04-01,1622.9
2014-07-01,1703.9
2014-10-01,1693.3
2015-01-01,1648.7
2015-04-01,1617.7
2015-07-01,1617.4
2015-10-01,1549.5
2016-01-01,1596.0
2016-04-01,1531.7
2016-07-01,1518.8
2016-10-01,1503.2
2017-01-01,1498.1
2017-04-01,1540.5
2017-07-01,1583.2
2017-10-01,1641.9
2018-01-01,1730.5
2018-04-01,1767.5
2018-07-01,1666.5
2018-10-01,1638.1
2019-01-01,1489.7
2019-04-01,1440.1
2019-07-01,1458.1
2019-10-01,1450.1
2020-01-01,1513.2
2020-04-01,1224.0
2020-07-01,1300.6
2020-10-01,1333.9
2022-01-01,1597.8
2022-04-01,1736.4
2022-07-01,1770.7
2022-10-01,1814.5
2023-01-01,1800.2
2023-04-01,1743.8
2023-07-01,1820.1
2023-10-01,1806.5
