,IDINFONQGSP
2005-01-01,1183.6
2005-04-01,1199.6
2005-07-01,1181.4
2005-10-01,1161.7
2006-01-01,1184.7
2006-04-01,1242.9
2006-07-01,1276.9
2006-10-01,1220.0
2007-01-01,1281.9
2007-04-01,1280.7
2007-07-01,1374.0
2007-10-01,1329.7
2008-01-01,1437.7
2008-04-01,1508.2
2008-07-01,1495.3
2008-10-01,1444.6
2009-01-01,1453.1
2009-04-01,1393.3
2009-07-01,1408.8
2009-10-01,1423.0
2010-01-01,1401.5
2010-04-01,1392.9
2010-07-01,1446.5
2010-10-01,1447.0
2011-01-01,1378.0
2011-04-01,1431.3
2011-07-01,1379.7
2011-10-01,1400.2
2012-01-01,1347.0
2012-04-01,1381.0
2012-07-01,1419.6
2012-10-01,1310.1
2013-01-01,1450.0
2013-04-01,1461.1
2013-07-01,1460.6
2013-10-01,1456.5
2014-01-01,1434.5
2014-04-01,1405.3
2014-07-01,1392.6
2014-10-01,1392.6
2015-01-01,1427.7
2015-04-01,1457.8
2015-07-01,1472.0
2015-10-01,1492.0
2016-01-01,1493.4
2016-04-01,1478.0
2016-07-01,1496.9
2016-10-01,1513.5
2017-01-01,1548.3
2017-04-01,1536.6
2017-07-01,1573.4
2017-10-01,1551.5
2018-01-01,1499.8
2018-04-01,1538.0
2018-07-01,1525.7
2018-10-01,1553.3
2019-01-01,1702.7
2019-04-01,1765.8
2019-07-01,1810.3
2019-10-01,1831.8
2020-01-01,1611.0
2020-04-01,1534.0
2020-07-01,1637.8
2020-10-01,1730.5
2021-01-01,1894.5
2021-04-01,2021.3
2021-07-01,2068.6
2021-10-01,2160.5
2022-01-01,2507.7
2022-04-01,2511.4
2022-07-01,2659.4
2022-10-01,2883.6
2023-01-01,2979.6
2023-04-01,3002.3
2023-07-01,3014.3
2023-10-01,3084.3
