date,value
1995-01-01,2309.8185
1995-02-01,2331.1919
1995-03-01,2351.1637
1995-04-01,2369.5511
1995-05-01,2393.6328
1995-06-01,2413.5853
1995-07-01,2440.924
1995-08-01,2456.2251
1995-09-01,2471.523
1995-10-01,2476.3215
1995-11-01,2491.9874
1995-12-01,2507.9683
1996-01-01,2526.6191
1996-02-01,2533.3371
1996-03-01,2545.6701
1996-04-01,2564.245
1996-05-01,2567.7768
1996-06-01,2583.238
1996-07-01,2588.5879
1996-08-01,2602.4284
1996-09-01,2625.5368
1996-10-01,2654.4573
1996-11-01,2670.9729
1996-12-01,2694.407
1997-01-01,2711.9521
1997-02-01,2726.1555
1997-03-01,2745.6877
1997-04-01,2771.222
1997-05-01,2798.14
1997-06-01,2819.2414
1997-07-01,2835.5326
1997-08-01,2851.8403
1997-09-01,2865.324
1997-10-01,2872.4999
1997-11-01,2885.6606
1997-12-01,2899.9651
1998-01-01,2918.1415
1998-02-01,2940.0728
1998-03-01,2964.523
1998-04-01,2984.6981
1998-05-01,2993.0532
1998-06-01,3014.7786
1998-07-01,3024.0316
1998-08-01,3049.7345
1998-09-01,3070.7938
1998-10-01,3101.6701
1998-11-01,3134.9982
1998-12-01,3142.6693
1999-01-01,3149.584
1999-02-01,3146.6812
1999-03-01,3161.7619
1999-04-01,3176.3789
1999-05-01,3182.0374
1999-06-01,3203.7353
1999-07-01,3212.9961
1999-08-01,3229.7005
1999-09-01,3255.6503
1999-10-01,3278.4966
1999-11-01,3319.5191
1999-12-01,3359.733
2000-01-01,3392.1705
2000-02-01,3421.7473
2000-03-01,3461.6924
2000-04-01,3498.168
2000-05-01,3541.6925
2000-06-01,3575.5786
2000-07-01,3598.928
2000-08-01,3625.838
2000-09-01,3643.9471
2000-10-01,3650.9232
2000-11-01,3668.8945
2000-12-01,3690.6519
2001-01-01,3710.4293
2001-02-01,3723.0703
2001-03-01,3735.7442
2001-04-01,3749.5923
2001-05-01,3759.6727
2001-06-01,3749.6239
2001-07-01,3738.739
2001-08-01,3724.7586
2001-09-01,3787.6744
2001-10-01,3742.2646
2001-11-01,3754.2531
2001-12-01,3763.3167
2002-01-01,3745.6761
2002-02-01,3757.0696
2002-03-01,3753.4131
2002-04-01,3754.6384
2002-05-01,3748.9686
2002-06-01,3768.8269
2002-07-01,3780.1724
2002-08-01,3815.2312
2002-09-01,3854.7684
2002-10-01,3906.047
2002-11-01,3939.6295
2002-12-01,3968.9317
2003-01-01,3980.2311
2003-02-01,4001.5693
2003-03-01,4016.3862
2003-04-01,4046.7229
2003-05-01,4075.6888
2003-06-01,4093.5942
2003-07-01,4129.6532
2003-08-01,4162.0161
2003-09-01,4160.5578
2003-10-01,4118.8192
2003-11-01,4124.72
2003-12-01,4168.1348
2004-01-01,4202.3971
2004-02-01,4232.294
2004-03-01,4267.7569
2004-04-01,4323.4147
2004-05-01,4372.1998
2004-06-01,4406.0063
2004-07-01,4432.7776
2004-08-01,4463.3474
2004-09-01,4505.4213
2004-10-01,4537.4127
2004-11-01,4579.9524
2004-12-01,4628.487
2005-01-01,4681.5865
2005-02-01,4718.3244
2005-03-01,4779.9909
2005-04-01,4823.3138
2005-05-01,4849.3447
2005-06-01,4901.6784
2005-07-01,4975.3592
2005-08-01,5038.476
2005-09-01,5077.5648
2005-10-01,5112.7936
2005-11-01,5158.5741
2005-12-01,5215.0462
2006-01-01,5250.437
2006-02-01,5289.0309
2006-03-01,5338.7221
2006-04-01,5396.8507
2006-05-01,5460.1509
2006-06-01,5502.7828
2006-07-01,5538.8276
2006-08-01,5579.7591
2006-09-01,5605.982
2006-10-01,5734.7119
2006-11-01,5778.95
2006-12-01,5848.9612
2007-01-01,5883.66
2007-02-01,5925.3008
2007-03-01,5875.1161
2007-04-01,5927.0293
2007-05-01,5972.7017
2007-06-01,6027.1073
2007-07-01,6083.429
2007-08-01,6169.1005
2007-09-01,6261.0148
2007-10-01,6345.4187
2007-11-01,6414.0811
2007-12-01,6470.3982
2008-01-01,6524.5592
2008-02-01,6562.9936
2008-03-01,6610.9253
2008-04-01,6634.3011
2008-05-01,6624.7581
2008-06-01,6610.789
2008-07-01,6625.5088
2008-08-01,6633.1805
2008-09-01,6737.3186
2008-10-01,6993.0764
2008-11-01,6961.1508
2008-12-01,6936.9025
2009-01-01,6900.3826
2009-02-01,6910.1962
2009-03-01,6860.2116
2009-04-01,6830.3341
2009-05-01,6848.0008
2009-06-01,6783.4484
2009-07-01,6705.9421
2009-08-01,6631.0928
2009-09-01,6547.8087
2009-10-01,6477.079
2009-11-01,6519.7045
2009-12-01,6454.8929
2010-01-01,6386.7895
2010-02-01,6320.4226
2010-03-01,6382.6199
2010-04-01,6703.2001
2010-05-01,6664.4281
2010-06-01,6637.5696
2010-07-01,6611.9604
2010-08-01,6603.4274
2010-09-01,6573.0841
2010-10-01,6561.174
2010-11-01,6559.9839
2010-12-01,6554.0148
2011-01-01,6523.8776
2011-02-01,6495.1116
2011-03-01,6480.5789
2011-04-01,6484.9434
2011-05-01,6488.4909
2011-06-01,6496.2398
2011-07-01,6513.7454
2011-08-01,6534.4832
2011-09-01,6541.1828
2011-10-01,6573.1328
2011-11-01,6603.9693
2011-12-01,6612.6305
2012-01-01,6651.0482
2012-02-01,6703.5735
2012-03-01,6715.8524
2012-04-01,6738.7017
2012-05-01,6764.0068
2012-06-01,6780.277
2012-07-01,6791.0881
2012-08-01,6813.1665
2012-09-01,6827.8837
2012-10-01,6836.739
2012-11-01,6872.7636
2012-12-01,6890.416
