,MEINFONQGSP
2005-01-01,1326.4
2005-04-01,1352.9
2005-07-01,1303.6
2005-10-01,1338.8
2006-01-01,1253.5
2006-04-01,1279.1
2006-07-01,1279.4
2006-10-01,1220.2
2007-01-01,1183.6
2007-04-01,1194.8
2007-07-01,1248.0
2007-10-01,1241.3
2008-01-01,1222.6
2008-04-01,1233.8
2008-07-01,1205.4
2008-10-01,1229.2
2009-01-01,1219.7
2009-04-01,1231.1
2009-07-01,1226.8
2009-10-01,1223.8
2010-01-01,1307.9
2010-04-01,1263.0
2010-07-01,1294.9
2010-10-01,1260.3
2011-01-01,1147.5
2011-04-01,1138.3
2011-07-01,1102.6
2011-10-01,1103.9
2012-01-01,1065.2
2012-04-01,1055.2
2012-07-01,1008.0
2012-10-01,979.2
2013-01-01,1116.4
2013-04-01,1085.2
2013-07-01,1072.8
2013-10-01,1026.2
2014-01-01,1044.9
2014-04-01,1025.4
2014-07-01,1035.7
2014-10-01,1001.9
2015-01-01,1038.3
2015-04-01,1113.2
2015-07-01,1128.2
2015-10-01,1140.0
2016-01-01,1167.2
2016-04-01,1130.5
2016-07-01,1188.9
2016-10-01,1220.1
2017-01-01,1131.6
2017-04-01,1141.9
2017-07-01,1081.8
2017-10-01,1112.5
2018-01-01,1176.5
2018-04-01,1201.8
2018-07-01,1256.0
2018-10-01,1233.3
2019-01-01,1272.5
2019-04-01,1257.2
2019-07-01,1320.6
2019-10-01,1326.4
2020-01-01,1210.9
2020-04-01,1202.2
2020-07-01,1272.9
2020-10-01,1355.3
2021-01-01,1390.4
2021-04-01,1519.5
2021-07-01,1430.3
2021-10-01,1449.0
2022-01-01,1636.7
2022-04-01,1530.8
2022-07-01,1547.9
2022-10-01,1616.5
2023-01-01,1755.8
2023-04-01,1779.9
2023-07-01,1903.3
2023-10-01,1963.3
