date,value
1995-01-01,722.3196
1995-02-01,714.1567
1995-03-01,707.4832
1995-04-01,704.7008
1995-05-01,704.1892
1995-06-01,703.3835
1995-07-01,702.2627
1995-08-01,707.2811
1995-09-01,707.8077
1995-10-01,707.9013
1995-11-01,707.291
1995-12-01,705.2968
1996-01-01,700.1046
1996-02-01,705.6401
1996-03-01,700.6303
1996-04-01,698.8747
1996-05-01,701.5021
1996-06-01,700.3432
1996-07-01,700.8459
1996-08-01,699.04
1996-09-01,699.7432
1996-10-01,698.181
1996-11-01,700.5049
1996-12-01,699.3251
1997-01-01,700.4458
1997-02-01,696.7114
1997-03-01,704.3774
1997-04-01,715.3967
1997-05-01,713.7297
1997-06-01,717.6481
1997-07-01,722.5853
1997-08-01,717.0598
1997-09-01,728.5314
1997-10-01,735.5772
1997-11-01,748.3445
1997-12-01,751.0244
1998-01-01,765.3546
1998-02-01,768.9425
1998-03-01,781.8488
1998-04-01,770.4548
1998-05-01,773.8733
1998-06-01,761.321
1998-07-01,765.8372
1998-08-01,773.7717
1998-09-01,770.9373
1998-10-01,779.9906
1998-11-01,795.8692
1998-12-01,795.3545
1999-01-01,799.0628
1999-02-01,798.726
1999-03-01,807.2057
1999-04-01,806.9106
1999-05-01,804.7883
1999-06-01,812.1436
1999-07-01,812.8034
1999-08-01,813.4375
1999-09-01,813.5238
1999-10-01,816.9891
1999-11-01,808.1831
1999-12-01,812.0556
2000-01-01,816.9577
2000-02-01,817.4898
2000-03-01,822.1515
2000-04-01,819.3433
2000-05-01,819.4567
2000-06-01,819.7609
2000-07-01,820.1766
2000-08-01,810.6151
2000-09-01,806.3063
2000-10-01,796.4367
2000-11-01,787.4041
2000-12-01,789.6537
2001-01-01,791.3372
2001-02-01,779.1477
2001-03-01,767.9157
2001-04-01,768.7395
2001-05-01,770.8521
2001-06-01,771.3794
2001-07-01,779.3101
2001-08-01,791.4961
2001-09-01,805.135
2001-10-01,824.2235
2001-11-01,838.3781
2001-12-01,859.2667
2002-01-01,845.1643
2002-02-01,835.8565
2002-03-01,850.7255
2002-04-01,860.5112
2002-05-01,869.8327
2002-06-01,888.5536
2002-07-01,907.2866
2002-08-01,935.3809
2002-09-01,957.046
2002-10-01,979.4381
2002-11-01,1003.7793
2002-12-01,1028.9273
2003-01-01,1031.1209
2003-02-01,1050.1557
2003-03-01,1056.55
2003-04-01,1076.9747
2003-05-01,1110.0797
2003-06-01,1131.9894
2003-07-01,1100.5668
2003-08-01,1067.4596
2003-09-01,1064.0468
2003-10-01,1089.339
2003-11-01,1100.7247
2003-12-01,1114.6633
2004-01-01,1108.8305
2004-02-01,1156.1796
2004-03-01,1189.123
2004-04-01,1188.0242
2004-05-01,1177.9388
2004-06-01,1180.3232
2004-07-01,1178.7774
2004-08-01,1178.1228
2004-09-01,1177.5143
2004-10-01,1163.1136
2004-11-01,1156.7243
2004-12-01,1173.2544
2005-01-01,1194.1347
2005-02-01,1210.4128
2005-03-01,1205.7781
2005-04-01,1190.8697
2005-05-01,1200.1427
2005-06-01,1170.7317
2005-07-01,1176.9179
2005-08-01,1169.9134
2005-09-01,1165.8607
2005-10-01,1173.1246
2005-11-01,1153.8267
2005-12-01,1159.9352
2006-01-01,1161.0521
2006-02-01,1171.9507
2006-03-01,1166.3051
2006-04-01,1195.5454
2006-05-01,1198.1001
2006-06-01,1199.1356
2006-07-01,1204.1703
2006-08-01,1212.6996
2006-09-01,1207.3296
2006-10-01,1233.2189
2006-11-01,1226.7572
2006-12-01,1217.9838
2007-01-01,1215.7595
2007-02-01,1213.2465
2007-03-01,1214.614
2007-04-01,1200.3161
2007-05-01,1190.2071
2007-06-01,1182.4517
2007-07-01,1183.5736
2007-08-01,1185.3869
2007-09-01,1179.2432
2007-10-01,1153.0201
2007-11-01,1142.3142
2007-12-01,1134.9275
2008-01-01,1122.352
2008-02-01,1122.5676
2008-03-01,1130.6519
2008-04-01,1121.4473
2008-05-01,1131.5538
2008-06-01,1144.6355
2008-07-01,1140.6228
2008-08-01,1146.4266
2008-09-01,1159.4963
2008-10-01,1230.2058
2008-11-01,1268.9056
2008-12-01,1249.8839
2009-01-01,1288.2353
2009-02-01,1283.1756
2009-03-01,1294.9547
2009-04-01,1281.6235
2009-05-01,1285.2783
2009-06-01,1323.9978
2009-07-01,1341.9913
2009-08-01,1378.3786
2009-09-01,1393.6368
2009-10-01,1390.7444
2009-11-01,1414.5688
2009-12-01,1445.0873
2010-01-01,1450.0108
2010-02-01,1464.1196
2010-03-01,1472.1378
2010-04-01,1503.947
2010-05-01,1504.0799
2010-06-01,1501.3486
2010-07-01,1558.5604
2010-08-01,1591.3754
2010-09-01,1615.0122
2010-10-01,1643.0429
2010-11-01,1658.3768
2010-12-01,1639.5765
2011-01-01,1645.1456
2011-02-01,1636.2337
2011-03-01,1645.3488
2011-04-01,1668.8242
2011-05-01,1667.9259
2011-06-01,1659.5627
2011-07-01,1656.918
2011-08-01,1669.6473
2011-09-01,1678.8903
2011-10-01,1687.4495
2011-11-01,1695.2367
2011-12-01,1697.9133
2012-01-01,1724.7591
2012-02-01,1755.0703
2012-03-01,1777.3502
2012-04-01,1795.8014
2012-05-01,1804.1423
2012-06-01,1804.1629
2012-07-01,1832.3577
2012-08-01,1844.7825
2012-09-01,1846.6292
2012-10-01,1843.1675
2012-11-01,1855.5296
2012-12-01,1872.2703
