,VTINFONQGSP
2005-01-01,769.3
2005-04-01,769.3
2005-07-01,755.2
2005-10-01,718.8
2006-01-01,709.1
2006-04-01,731.2
2006-07-01,719.2
2006-10-01,714.3
2007-01-01,746.2
2007-04-01,762.9
2007-07-01,811.7
2007-10-01,806.7
2008-01-01,883.9
2008-04-01,917.0
2008-07-01,970.9
2008-10-01,926.4
2009-01-01,960.1
2009-04-01,931.9
2009-07-01,944.2
2009-10-01,964.9
2010-01-01,963.8
2010-04-01,953.2
2010-07-01,976.3
2010-10-01,949.4
2011-01-01,914.5
2011-04-01,925.9
2011-07-01,887.7
2011-10-01,927.0
2012-01-01,828.9
2012-04-01,866.7
2012-07-01,867.2
2012-10-01,868.2
2013-01-01,934.7
2013-04-01,921.9
2013-07-01,902.8
2013-10-01,892.0
2014-01-01,895.2
2014-04-01,878.7
2014-07-01,850.8
2014-10-01,823.1
2015-01-01,790.6
2015-04-01,826.5
2015-07-01,915.6
2015-10-01,836.2
2016-01-01,867.2
2016-04-01,854.3
2016-07-01,842.2
2016-10-01,845.3
2017-01-01,848.2
2017-04-01,824.8
2017-07-01,822.7
2017-10-01,832.7
2018-01-01,770.2
2018-04-01,782.5
2018-07-01,787.6
2018-10-01,803.1
2019-01-01,838.4
2019-04-01,893.2
2019-07-01,904.7
2019-10-01,895.1
2020-01-01,889.0
2020-04-01,839.7
2020-07-01,861.4
2020-10-01,899.3
2021-01-01,878.9
2021-04-01,951.6
2021-07-01,978.2
2021-10-01,977.8
2022-01-01,1006.4
2022-04-01,1035.0
2022-07-01,1110.4
2022-10-01,1182.9
2023-01-01,1204.0
2023-04-01,1224.7
2023-07-01,1224.4
2023-10-01,1309.0
