,WYINFONQGSP
2005-01-01,399.0
2005-04-01,413.0
2005-07-01,411.9
2005-10-01,410.8
2006-01-01,421.5
2006-04-01,445.8
2006-07-01,448.0
2006-10-01,444.6
2007-01-01,445.0
2007-04-01,464.2
2007-07-01,497.8
2007-10-01,512.2
2008-01-01,527.6
2008-04-01,518.6
2008-07-01,533.1
2008-10-01,513.9
2009-01-01,564.0
2009-04-01,559.7
2009-07-01,564.6
2009-10-01,563.3
2010-01-01,547.3
2010-04-01,562.8
2010-07-01,589.3
2010-10-01,599.0
2011-01-01,563.2
2011-04-01,574.7
2011-07-01,577.6
2011-10-01,567.9
2012-01-01,559.1
2012-04-01,572.5
2012-07-01,554.5
2012-10-01,534.7
2013-01-01,584.7
2013-04-01,584.3
2013-07-01,594.4
2013-10-01,587.4
2014-01-01,555.6
2014-04-01,573.2
2014-07-01,565.9
2014-10-01,579.0
2015-01-01,613.1
2015-04-01,616.1
2015-07-01,622.8
2015-10-01,629.1
2016-01-01,642.0
2016-04-01,627.1
2016-07-01,631.5
2016-10-01,604.7
2017-01-01,660.5
2017-04-01,620.5
2017-07-01,619.8
2017-10-01,616.7
2018-01-01,627.2
2018-04-01,648.5
2018-07-01,645.7
2018-10-01,655.2
2019-01-01,664.0
2019-04-01,691.7
2019-07-01,709.0
2019-10-01,702.1
2020-01-01,656.1
2020-04-01,639.9
2020-07-01,688.5
2020-10-01,668.5
2021-01-01,750.9
2021-04-01,857.8
2021-07-01,749.2
2021-10-01,752.6
2022-01-01,737.5
2022-04-01,746.6
2022-07-01,822.5
2022-10-01,855.4
2023-01-01,819.7
2023-04-01,866.0
2023-07-01,858.3
2023-10-01,904.0
