year,month,wazirx_volume_bn,total_top4_volume_bn,notes,date,yoy_change_pct,offshore_volume_bn_est,btc_price_usd,post_30pct_tax,post_1pct_tds,post_any_treatment,ln_total_volume,ln_btc_price
2021,10,4.65,7.48,Q4 2021 peak period,2021-10-01,,,61300,0,0,0,2.012232791986386,11.023535121924303
2021,11,4.65,7.48,Q4 2021 peak,2021-11-01,,,57000,0,0,0,2.012232791986386,10.950806546816688
2021,12,4.65,7.48,Q4 2021 peak,2021-12-01,,,46300,0,0,0,2.012232791986386,10.742897240074326
2022,1,2.5,4.1,Pre-tax announcement,2022-01-01,,,38500,0,0,0,1.410986973710262,10.558413520275876
2022,2,1.8,3.0,Budget announces 30% tax + 1% TDS (Feb 1),2022-02-01,,,43100,0,0,0,1.0986122886681098,10.671278276091838
2022,3,1.5,2.8,Pre-implementation anticipation,2022-03-01,,,45500,0,0,0,1.0296194171811581,10.725467604939041
2022,4,0.8,1.6,*** 30% tax effective Apr 1 — FIRST SHOCK ***,2022-04-01,,,39700,1,0,1,0.47000362924573563,10.589106466675283
2022,5,0.6,1.2,Continued decline + Terra/Luna crash,2022-05-01,,,31800,1,0,1,0.1823215567939546,10.367221568768269
2022,6,0.45,0.9,WazirX loses market share to Bitbns,2022-06-01,,,20100,1,0,1,-0.10536051565782628,9.908475094047168
2022,7,0.3,0.8,*** 1% TDS effective Jul 1 — SECOND SHOCK ***,2022-07-01,,3.23,23300,1,1,1,-0.2231435513142097,10.056208639553791
2022,8,0.25,0.7,Massive offshore migration begins,2022-08-01,,3.23,20050,1,1,1,-0.35667494393873245,9.905984432734716
2022,9,0.2,0.65,Bitbns overtakes WazirX,2022-09-01,,3.23,19400,1,1,1,-0.4307829160924542,9.87302834505142
2022,10,0.15,0.55,Continued decline,2022-10-01,,3.23,20500,1,1,1,-0.5978370007556204,9.9281801651265
2022,11,0.12,0.5,FTX collapse (Nov 11),2022-11-01,,3.23,16500,1,1,1,-0.6931471805599453,9.711115659888671
2022,12,0.1,0.45,Year-end trough,2022-12-01,,3.23,16500,1,1,1,-0.7985076962177716,9.711115659888671
2023,1,0.09,0.55,New year slight uptick,2023-01-01,,3.23,23100,1,1,1,-0.5978370007556204,10.047587896509885
2023,2,0.08,0.55,,2023-02-01,,3.23,23100,1,1,1,-0.5978370007556204,10.047587896509885
2023,3,0.07,0.52,,2023-03-01,,3.23,28400,1,1,1,-0.6539264674066639,10.254144424149297
2023,4,0.06,0.5,,2023-04-01,,3.23,29200,1,1,1,-0.6931471805599453,10.281923988256374
2023,5,0.06,0.49,CoinGecko report cutoff,2023-05-01,,3.23,27200,1,1,1,-0.7133498878774648,10.210972252284089
2023,6,0.07,0.5,Estimated from annual total,2023-06-01,,3.23,30400,1,1,1,-0.6931471805599453,10.322197887394314
2023,7,0.08,0.55,Slight recovery,2023-07-01,,3.23,29200,1,1,1,-0.5978370007556204,10.281923988256374
2023,8,0.08,0.55,,2023-08-01,,,26100,1,1,1,-0.5978370007556204,10.169690593310785
2023,9,0.09,0.58,,2023-09-01,,,27000,1,1,1,-0.5447271754416722,10.203592144986466
2023,10,0.1,0.6,,2023-10-01,,,34500,1,1,1,-0.5108256237659907,10.448714603019452
2023,11,0.1,0.62,Esya Centre report published,2023-11-01,,,37700,1,1,1,-0.4780358009429998,10.537415373436103
2023,12,0.1,0.6,FIU blocks 9 offshore exchanges,2023-12-01,,,42500,1,1,1,-0.5108256237659907,10.657259354912508
