fiscal_year,month,upi_txn_billions,upi_value_lakh_crore,gst_gross_lakh_crore,date,gst_ln,upi_ln,fy_gst_total_lakh_crore,nominal_gdp_lakh_crore,gst_pct_gdp,source
FY18,2017-07,0.0200,0.0300,0.9200,2017-07-01,-0.0834,-3.9120,7.4100,170.0000,4.3588,"NPCI (UPI stats), PIB/GST Council (GST collections), MOSPI (GDP)"
FY18,2017-10,0.0800,0.0700,0.8300,2017-10-01,-0.1863,-2.5257,7.4100,170.0000,4.3588,"NPCI (UPI stats), PIB/GST Council (GST collections), MOSPI (GDP)"
FY18,2018-01,0.1500,0.1500,0.8600,2018-01-01,-0.1508,-1.8971,7.4100,170.0000,4.3588,"NPCI (UPI stats), PIB/GST Council (GST collections), MOSPI (GDP)"
FY18,2018-03,0.1800,0.2400,0.8900,2018-03-01,-0.1165,-1.7148,7.4100,170.0000,4.3588,"NPCI (UPI stats), PIB/GST Council (GST collections), MOSPI (GDP)"
FY19,2018-07,0.3100,0.3400,0.9600,2018-07-01,-0.0408,-1.1712,11.7700,188.9000,6.2308,"NPCI (UPI stats), PIB/GST Council (GST collections), MOSPI (GDP)"
FY19,2018-10,0.4800,0.5900,0.9400,2018-10-01,-0.0619,-0.7340,11.7700,188.9000,6.2308,"NPCI (UPI stats), PIB/GST Council (GST collections), MOSPI (GDP)"
FY19,2019-01,0.6700,0.8900,1.0200,2019-01-01,0.0198,-0.4005,11.7700,188.9000,6.2308,"NPCI (UPI stats), PIB/GST Council (GST collections), MOSPI (GDP)"
FY19,2019-03,0.8000,1.1000,1.0600,2019-03-01,0.0583,-0.2231,11.7700,188.9000,6.2308,"NPCI (UPI stats), PIB/GST Council (GST collections), MOSPI (GDP)"
FY20,2019-07,0.8200,1.2500,1.0200,2019-07-01,0.0198,-0.1985,12.2200,200.7000,6.0887,"NPCI (UPI stats), PIB/GST Council (GST collections), MOSPI (GDP)"
FY20,2019-10,1.1500,1.6100,0.9500,2019-10-01,-0.0513,0.1398,12.2200,200.7000,6.0887,"NPCI (UPI stats), PIB/GST Council (GST collections), MOSPI (GDP)"
FY20,2020-01,1.3100,2.1600,1.1000,2020-01-01,0.0953,0.2700,12.2200,200.7000,6.0887,"NPCI (UPI stats), PIB/GST Council (GST collections), MOSPI (GDP)"
FY20,2020-03,1.2500,2.0600,0.9700,2020-03-01,-0.0305,0.2231,12.2200,200.7000,6.0887,"NPCI (UPI stats), PIB/GST Council (GST collections), MOSPI (GDP)"
FY21,2020-07,1.4900,2.9000,0.8700,2020-07-01,-0.1393,0.3988,11.3700,197.5000,5.7570,"NPCI (UPI stats), PIB/GST Council (GST collections), MOSPI (GDP)"
FY21,2020-10,2.0700,3.8600,1.0500,2020-10-01,0.0488,0.7275,11.3700,197.5000,5.7570,"NPCI (UPI stats), PIB/GST Council (GST collections), MOSPI (GDP)"
FY21,2021-01,2.3000,4.3100,1.2000,2021-01-01,0.1823,0.8329,11.3700,197.5000,5.7570,"NPCI (UPI stats), PIB/GST Council (GST collections), MOSPI (GDP)"
FY21,2021-03,2.7300,5.0400,1.2400,2021-03-01,0.2151,1.0043,11.3700,197.5000,5.7570,"NPCI (UPI stats), PIB/GST Council (GST collections), MOSPI (GDP)"
FY22,2021-07,3.2400,6.0600,1.1600,2021-07-01,0.1484,1.1756,14.8300,236.6000,6.2680,"NPCI (UPI stats), PIB/GST Council (GST collections), MOSPI (GDP)"
FY22,2021-10,4.2100,7.7100,1.3000,2021-10-01,0.2624,1.4375,14.8300,236.6000,6.2680,"NPCI (UPI stats), PIB/GST Council (GST collections), MOSPI (GDP)"
FY22,2022-01,4.6200,8.3200,1.4100,2022-01-01,0.3436,1.5304,14.8300,236.6000,6.2680,"NPCI (UPI stats), PIB/GST Council (GST collections), MOSPI (GDP)"
FY22,2022-03,5.4000,9.6000,1.4200,2022-03-01,0.3507,1.6864,14.8300,236.6000,6.2680,"NPCI (UPI stats), PIB/GST Council (GST collections), MOSPI (GDP)"
FY23,2022-07,6.2800,10.6200,1.4900,2022-07-01,0.3988,1.8374,18.1000,272.4000,6.6446,"NPCI (UPI stats), PIB/GST Council (GST collections), MOSPI (GDP)"
FY23,2022-10,7.3000,12.1100,1.5200,2022-10-01,0.4187,1.9879,18.1000,272.4000,6.6446,"NPCI (UPI stats), PIB/GST Council (GST collections), MOSPI (GDP)"
FY23,2023-01,8.0300,12.9800,1.5700,2023-01-01,0.4511,2.0832,18.1000,272.4000,6.6446,"NPCI (UPI stats), PIB/GST Council (GST collections), MOSPI (GDP)"
FY23,2023-03,8.6500,14.0500,1.6000,2023-03-01,0.4700,2.1576,18.1000,272.4000,6.6446,"NPCI (UPI stats), PIB/GST Council (GST collections), MOSPI (GDP)"
FY24,2023-07,9.9600,15.3400,1.6500,2023-07-01,0.5008,2.2986,20.1800,296.6000,6.8038,"NPCI (UPI stats), PIB/GST Council (GST collections), MOSPI (GDP)"
