iso2,iso3
AW,ABW
ZH,AFE
AF,AFG
A9,AFR
ZI,AFW
AO,AGO
AL,ALB
AD,AND
1A,ARB
AE,ARE
AR,ARG
AM,ARM
AS,ASM
AG,ATG
AU,AUS
AT,AUT
AZ,AZE
BI,BDI
B4,BEA
B7,BEC
BE,BEL
BJ,BEN
BF,BFA
BD,BGD
BG,BGR
B1,BHI
BH,BHR
BS,BHS
BA,BIH
B2,BLA
BY,BLR
BZ,BLZ
B3,BMN
BM,BMU
BO,BOL
BR,BRA
BB,BRB
BN,BRN
B6,BSS
BT,BTN
BW,BWA
C9,CAA
CF,CAF
CA,CAN
C4,CEA
B8,CEB
C5,CEU
CH,CHE
JG,CHI
CL,CHL
CN,CHN
CI,CIV
C6,CLA
C7,CME
CM,CMR
CD,COD
CG,COG
CO,COL
KM,COM
CV,CPV
CR,CRI
C8,CSA
S3,CSS
CU,CUB
CW,CUW
KY,CYM
CY,CYP
CZ,CZE
D4,DEA
D7,DEC
DE,DEU
DJ,DJI
D2,DLA
DM,DMA
D3,DMN
DK,DNK
N6,DNS
DO,DOM
D5,DSA
F6,DSF
D6,DSS
DZ,DZA
4E,EAP
V2,EAR
Z4,EAS
7E,ECA
Z7,ECS
EC,ECU
EG,EGY
XC,EMU
ER,ERI
ES,ESP
EE,EST
ET,ETH
EU,EUU
F1,FCS
FI,FIN
FJ,FJI
FR,FRA
FO,FRO
FM,FSM
6F,FXS
GA,GAB
GB,GBR
GE,GEO
GH,GHA
GI,GIB
GN,GIN
GM,GMB
GW,GNB
GQ,GNQ
GR,GRC
GD,GRD
GL,GRL
GT,GTM
GU,GUM
GY,GUY
XD,HIC
HK,HKG
HN,HND
XE,HPC
HR,HRV
HT,HTI
HU,HUN
ZB,IBB
XF,IBD
ZT,IBT
XG,IDA
XH,IDB
ID,IDN
XI,IDX
IM,IMN
IN,IND
XY,INX
IE,IRL
IR,IRN
IQ,IRQ
IS,ISL
IL,ISR
IT,ITA
JM,JAM
JO,JOR
JP,JPN
KZ,KAZ
KE,KEN
KG,KGZ
KH,KHM
KI,KIR
KN,KNA
KR,KOR
KW,KWT
XJ,LAC
LA,LAO
LB,LBN
LR,LBR
LY,LBY
LC,LCA
ZJ,LCN
XL,LDC
XM,LIC
LI,LIE
LK,LKA
XN,LMC
XO,LMY
LS,LSO
V3,LTE
LT,LTU
LU,LUX
LV,LVA
MO,MAC
MF,MAF
MA,MAR
MC,MCO
MD,MDA
M1,MDE
MG,MDG
MV,MDV
ZQ,MEA
MX,MEX
MH,MHL
XP,MIC
MK,MKD
ML,MLI
MT,MLT
MM,MMR
XQ,MNA
ME,MNE
MN,MNG
MP,MNP
MZ,MOZ
MR,MRT
MU,MUS
MW,MWI
MY,MYS
XU,NAC
M2,NAF
NA,NAM
NC,NCL
NE,NER
NG,NGA
NI,NIC
NL,NLD
NO,NOR
NP,NPL
6X,NRS
NR,NRU
6N,NXS
NZ,NZL
OE,OED
OM,OMN
S4,OSS
PK,PAK
PA,PAN
PE,PER
PH,PHL
PW,PLW
PG,PNG
PL,POL
V1,PRE
PR,PRI
KP,PRK
PT,PRT
PY,PRY
PS,PSE
S2,PSS
V4,PST
PF,PYF
QA,QAT
RO,ROU
R6,RRS
RU,RUS
RW,RWA
8S,SAS
SA,SAU
SD,SDN
SN,SEN
SG,SGP
SB,SLB
SL,SLE
SV,SLV
SM,SMR
SO,SOM
RS,SRB
ZF,SSA
SS,SSD
ZG,SSF
S1,SST
ST,STP
SR,SUR
SK,SVK
SI,SVN
SE,SWE
SZ,SWZ
SX,SXM
A4,SXZ
SC,SYC
SY,SYR
TC,TCA
TD,TCD
T4,TEA
T7,TEC
TG,TGO
TH,THA
TJ,TJK
TM,TKM
T2,TLA
TL,TLS
T3,TMN
TO,TON
T5,TSA
T6,TSS
TT,TTO
TN,TUN
TR,TUR
TV,TUV
TZ,TZA
UG,UGA
UA,UKR
XT,UMC
UY,URY
US,USA
UZ,UZB
VC,VCT
VE,VEN
VG,VGB
VI,VIR
VN,VNM
VU,VUT
1W,WLD
WS,WSM
XK,XKX
A5,XZN
YE,YEM
ZA,ZAF
ZM,ZMB
ZW,ZWE
