iso3,year,value
AFE,2012,1.89717291956102
AFE,2011,4.07747696614018
AFE,2010,5.30790438645938
AFE,2009,0.919472850509038
AFE,2008,4.43752919445292
AFE,2007,6.70003329209791
AFE,2006,6.63749738735714
AFE,2005,6.17365914390395
AFW,2012,5.12970299383294
AFW,2011,4.92204702375463
AFW,2010,7.00073960255909
AFW,2009,6.14119135977269
AFW,2008,6.21081188431489
AFW,2007,5.44753043563995
AFW,2006,5.28717104206022
AFW,2005,5.79743371948868
ARB,2012,5.49375422924652
ARB,2011,3.85320358755794
ARB,2010,4.84064243847079
ARB,2009,0.648247152976467
ARB,2008,5.57116008739757
ARB,2007,4.60116470281086
ARB,2006,6.27629734101787
ARB,2005,5.57295529835658
CSS,2012,4.03485699947825
CSS,2011,0.886353024582334
CSS,2010,1.85821449903838
CSS,2009,-3.39231957790483
CSS,2008,1.69966604699709
CSS,2007,3.84674166509373
CSS,2006,7.83209779101442
CSS,2005,4.39522842972688
CEB,2012,0.837956413944042
CEB,2011,3.60060363619606
CEB,2010,1.5384784947519
CEB,2009,-3.62226734473313
CEB,2008,3.96228066394433
CEB,2007,6.33886223547218
CEB,2006,6.64053519444492
CEB,2005,4.90983938008229
EAR,2012,4.23032506652108
EAR,2011,4.95235981152094
EAR,2010,6.38102086180527
EAR,2009,0.64699504158898
EAR,2008,3.48673124260084
EAR,2007,5.76681812549049
EAR,2006,6.14128391149524
EAR,2005,5.9717681179724
EAS,2012,5.20891395964568
EAS,2011,5.45100196166661
EAS,2010,7.62675265966158
EAS,2009,2.62409609496959
EAS,2008,4.43315617318123
EAS,2007,7.48405766634296
EAS,2006,6.47993129557409
EAS,2005,5.9566497873921
EAP,2012,7.57914812749358
EAP,2011,8.58482682972515
EAP,2010,9.89795112070593
EAP,2009,8.01603787822016
EAP,2008,8.64882758953465
EAP,2007,12.451766841908
EAP,2006,11.0703093286525
EAP,2005,10.0494089212275
TEA,2012,7.57909022403884
TEA,2011,8.58476796444963
TEA,2010,9.89753255215437
TEA,2009,8.01546409792513
TEA,2008,8.64836099430298
TEA,2007,12.4510064196282
TEA,2006,11.0697749181109
TEA,2005,10.0489530850295
EMU,2012,-0.920856755560266
EMU,2011,1.7775447306567
EMU,2010,2.11823129195227
EMU,2009,-4.48276627207102
EMU,2008,0.410531246374063
EMU,2007,3.01116848351764
EMU,2006,3.32457136193729
EMU,2005,1.77166717086934
ECS,2012,0.315139388356499
ECS,2011,2.329134382958
ECS,2010,2.632321442817
ECS,2009,-4.43157190260723
ECS,2008,1.024772325844
ECS,2007,3.69073242253701
ECS,2006,3.88577021359427
ECS,2005,2.72418898336034
ECA,2012,4.06057081666242
ECA,2011,8.32799694953145
ECA,2010,7.12596948217272
ECA,2009,-3.49665461735418
ECA,2008,3.09419077627328
ECA,2007,7.17892729068126
ECA,2006,8.24539310699477
ECA,2005,8.53515428264136
TEC,2012,3.45489344885198
TEC,2011,5.86393596651764
TEC,2010,4.68965724549606
TEC,2009,-4.7008547742517
TEC,2008,4.4861316152351
TEC,2007,7.62582368886329
TEC,2006,7.86827078885722
TEC,2005,6.63931910334223
EUU,2012,-0.764417073931995
EUU,2011,1.96060087405088
EUU,2010,2.18180099957814
EUU,2009,-4.31208831896208
EUU,2008,0.617986886948557
EUU,2007,3.1418356676346
EUU,2006,3.56754077134353
EUU,2005,1.98357902362464
FCS,2012,5.63256722854435
FCS,2011,0.44761198193153
FCS,2010,6.17368805793606
FCS,2009,2.30383173467253
FCS,2008,5.06807874842752
FCS,2007,6.30127020834233
FCS,2006,6.18309763217857
FCS,2005,6.26363135259069
HPC,2012,4.05986356692397
HPC,2011,4.57034247802935
HPC,2010,6.16805649826611
HPC,2009,3.47461460183112
HPC,2008,5.62080376701061
HPC,2007,5.47781073168518
HPC,2006,5.72430889054247
HPC,2005,5.53135344903536
IBD,2012,5.46189671640676
IBD,2011,6.34809790701479
IBD,2010,7.76913892889355
IBD,2009,2.7870306956999
IBD,2008,5.93909318895042
IBD,2007,8.95711904955583
IBD,2006,8.33063998849481
IBD,2005,7.25290132783681
IBT,2012,5.30303202015641
IBT,2011,6.17762293228954
IBT,2010,7.64087639378678
IBT,2009,2.9648118155342
IBT,2008,5.86767333945544
IBT,2007,8.71182358979235
IBT,2006,8.14145143740686
IBT,2005,7.16340677732718
IDB,2012,4.50072409149726
IDB,2011,4.19641282006262
IDB,2010,5.94346268114417
IDB,2009,5.88178416165859
IDB,2008,4.17673097121384
IDB,2007,5.42184760303104
IDB,2006,5.72555656025354
IDB,2005,5.96745206211722
IDX,2012,2.37913187875185
IDX,2011,4.23955328462343
IDX,2010,6.43380577712871
IDX,2009,4.17293803583576
IDX,2008,5.92532656798508
IDX,2007,6.4654563400738
IDX,2006,6.37635069513551
IDX,2005,6.40575400928334
IDA,2012,3.43953249646631
IDA,2011,4.21798662977142
IDA,2010,6.18810883117114
IDA,2009,5.02224108295724
IDA,2008,5.03505181555117
IDA,2007,5.93154754290293
IDA,2006,6.04240749877893
IDA,2005,6.18039536803219
LTE,2012,5.88596134899939
LTE,2011,7.17018280493483
LTE,2010,8.03440086230196
LTE,2009,3.74138025997479
LTE,2008,6.95688641059679
LTE,2007,10.2058695100739
LTE,2006,9.29146367821868
LTE,2005,7.79648456165867
LCN,2012,2.64401559051115
LCN,2011,4.39655404168934
LCN,2010,6.16268521254159
LCN,2009,-2.30606868180301
LCN,2008,3.69077213691142
LCN,2007,5.28668699848225
LCN,2006,5.2617893739781
LCN,2005,4.09602929826869
LAC,2012,2.3429427855651
LAC,2011,4.4260068185209
LAC,2010,6.68617840114332
LAC,2009,-2.42374983354138
LAC,2008,3.72840193518242
LAC,2007,5.30259334393376
LAC,2006,5.22968859109878
LAC,2005,3.98793536577327
TLA,2012,2.71601812049479
TLA,2011,4.56493996774476
TLA,2010,6.43352449089936
TLA,2009,-2.35282389560321
TLA,2008,3.85631836150191
TLA,2007,5.45551079018296
TLA,2006,5.37451017594167
TLA,2005,4.19751061457903
LDC,2012,3.30736831222637
LDC,2011,3.33299155653481
LDC,2010,6.33851199773525
LDC,2009,4.22685817352115
LDC,2008,6.45426556691304
LDC,2007,7.25557846757279
LDC,2006,6.85942217803215
LDC,2005,7.40501143147884
LMY,2012,5.49051826518085
LMY,2011,6.3548185455024
LMY,2010,8.16445240626624
LMY,2009,4.01461962181482
LMY,2008,5.94269905569142
LMY,2007,8.84123474938967
LMY,2006,8.22100374460884
LMY,2005,7.36879097244949
MEA,2012,4.24819927226845
MEA,2011,3.84226414950793
MEA,2010,4.80966519096368
MEA,2009,1.11825830274377
MEA,2008,4.3765405545584
MEA,2007,5.23301132882172
MEA,2006,5.98815018985034
MEA,2005,5.28840925831997
